gene	length
CARHR243980	1696
CARHR121880	630
CARHR195690	3006
CARHR051350	465
CARHR247290	10172
CARHR095150	1062
CARHR290040	2197
CARHR219240	1525
CARHR212290	1625
CARHR208340	2461
CARHR119500	1547
CARHR116650	543
CARHR080560	672
CARHR238810	1758
CARHR123020	1827
CARHR113760	738
CARHR148550	1314
CARHR201040	540
CARHR063980	609
CARHR020290	1146
CARHR117070	243
CARHR167180	630
CARHR065770	1530
CARHR061850	1595
CARHR242580	777
CARHR190580	690
CARHR013200	807
CARHR185630	1081
CARHR029720	1755
CARHR288130	2076
CARHR060180	507
CARHR069670	2012
CARHR189440	1554
CARHR198000	954
CARHR195030	273
CARHR014960	759
CARHR244980	1140
CARHR092680	7036
CARHR212430	4523
CARHR190630	2445
CARHR216950	701
CARHR256400	420
CARHR053310	649
CARHR168980	2547
CARHR056360	4305
CARHR246160	1410
CARHR038550	1403
CARHR048880	2322
CARHR091480	2082
CARHR213520	828
CARHR245580	1161
CARHR057010	2334
CARHR160680	1904
CARHR034200	369
CARHR214550	243
CARHR112410	555
CARHR137070	2808
CARHR267560	2421
CARHR254800	3024
CARHR116300	198
CARHR218460	1003
CARHR187900	1046
CARHR052190	2381
CARHR182360	492
CARHR189190	1514
CARHR028090	2095
CARHR072070	5648
CARHR111820	1809
CARHR142560	974
CARHR022630	1006
CARHR156280	999
CARHR062760	558
CARHR262300	1023
CARHR168320	552
CARHR026520	1152
CARHR035150	2404
CARHR217600	558
CARHR056940	339
CARHR157480	864
CARHR227260	2577
CARHR253630	1185
CARHR007120	5946
CARHR183100	342
CARHR156750	429
CARHR068690	1964
CARHR070700	615
CARHR155860	642
CARHR026290	1475
CARHR215600	426
CARHR259400	468
CARHR147420	1593
CARHR266210	1104
CARHR194630	819
CARHR251670	1494
CARHR098650	1290
CARHR210070	180
CARHR103410	1410
CARHR053240	1467
CARHR114810	3138
CARHR254110	771
CARHR278540	2340
CARHR211380	1533
CARHR100140	4054
CARHR054730	1542
CARHR234320	2280
CARHR274640	2018
CARHR049370	774
CARHR041780	390
CARHR265540	1300
CARHR143210	2940
CARHR196670	1980
CARHR136030	360
CARHR261650	234
CARHR269460	963
CARHR107240	396
CARHR074910	4482
CARHR036950	318
CARHR117890	234
CARHR278090	477
CARHR180450	1284
CARHR265890	777
CARHR006650	504
CARHR073030	3086
CARHR077790	1290
CARHR251090	3201
CARHR269790	1497
CARHR157330	1275
CARHR118620	1385
CARHR160070	1525
CARHR061440	1878
CARHR196090	645
CARHR006380	1654
CARHR165240	288
CARHR275110	2544
CARHR107860	471
CARHR222340	1792
CARHR050290	1269
CARHR211030	3042
CARHR216560	2190
CARHR125730	411
CARHR024100	588
CARHR050120	276
CARHR084070	5236
CARHR260210	3213
CARHR221980	1011
CARHR128270	2503
CARHR036120	2820
CARHR075790	495
CARHR125080	546
CARHR267970	823
CARHR070560	2562
CARHR134500	1182
CARHR086500	2144
CARHR164540	1743
CARHR130470	918
CARHR034080	225
CARHR223390	1533
CARHR138660	1258
CARHR184220	204
CARHR225370	1875
CARHR173830	1673
CARHR009170	1278
CARHR224020	2883
CARHR224550	2189
CARHR027450	1125
CARHR198940	477
CARHR051650	975
CARHR055570	564
CARHR031100	1972
CARHR279760	1569
CARHR067110	2471
CARHR179540	1281
CARHR205060	3660
CARHR277600	666
CARHR056000	494
CARHR089700	2499
CARHR102280	483
CARHR085850	1814
CARHR034620	1465
CARHR138080	2130
CARHR225950	3714
CARHR142970	1412
CARHR146290	345
CARHR185170	402
CARHR132900	621
CARHR023920	1041
CARHR032660	1239
CARHR023220	3974
CARHR087750	4341
CARHR221700	1711
CARHR209690	1237
CARHR174200	1194
CARHR220250	891
CARHR136950	1566
CARHR227700	677
CARHR045990	1380
CARHR003140	261
CARHR270370	1695
CARHR228820	1626
CARHR171520	867
CARHR151680	1092
CARHR038990	912
CARHR284930	1287
CARHR031810	294
CARHR068830	873
CARHR106380	510
CARHR041340	947
CARHR249960	1879
CARHR204000	962
CARHR200780	1775
CARHR209030	1908
CARHR045840	522
CARHR103350	297
CARHR022170	855
CARHR276060	723
CARHR132010	1445
CARHR084810	1324
CARHR090530	795
CARHR086080	408
CARHR271060	1515
CARHR274980	1399
CARHR155130	1314
CARHR106650	2709
CARHR231950	2739
CARHR041690	3112
CARHR120040	1158
CARHR007240	2277
CARHR068370	723
CARHR081360	779
CARHR203780	630
CARHR223280	1074
CARHR073950	630
CARHR277890	1094
CARHR232790	393
CARHR280100	627
CARHR271130	1731
CARHR274320	1782
CARHR039710	960
CARHR277980	3366
CARHR219000	282
CARHR202780	2545
CARHR285680	339
CARHR040560	3231
CARHR153030	3134
CARHR173310	576
CARHR081940	3549
CARHR208630	5215
CARHR047690	2448
CARHR234820	979
CARHR037740	1434
CARHR069470	1050
CARHR133820	1389
CARHR159160	1080
CARHR229060	177
CARHR286790	2332
CARHR288330	489
CARHR063610	921
CARHR030770	1745
CARHR128730	1639
CARHR163190	1503
CARHR135370	1443
CARHR283450	438
CARHR095010	360
CARHR233440	768
CARHR127810	1086
CARHR284480	1677
CARHR158410	324
CARHR272440	1200
CARHR234790	258
CARHR288480	1310
CARHR229390	384
CARHR286420	750
CARHR226560	510
CARHR200900	1830
CARHR214710	1680
CARHR225030	835
CARHR218840	1839
CARHR290470	961
CARHR284150	1455
CARHR047030	1482
CARHR164970	3910
CARHR238740	1062
CARHR003970	2175
CARHR094940	2538
CARHR213090	297
CARHR118920	237
CARHR038140	1002
CARHR095930	225
CARHR005480	1884
CARHR149110	231
CARHR276210	2595
CARHR279240	1261
CARHR062560	1782
CARHR122550	792
CARHR035840	1452
CARHR046120	297
CARHR229930	1372
CARHR157640	1814
CARHR002590	4435
CARHR169830	1839
CARHR186190	456
CARHR126070	1576
CARHR148950	1113
CARHR146600	315
CARHR230490	3633
CARHR164350	1665
CARHR247960	417
CARHR015500	959
CARHR004280	1629
CARHR096090	285
CARHR291700	996
CARHR235040	1137
CARHR282410	159
CARHR120890	459
CARHR280480	1772
CARHR191840	1377
CARHR175610	1419
CARHR002620	3077
CARHR053000	231
CARHR254350	1428
CARHR250870	768
CARHR085210	2670
CARHR174560	237
CARHR058650	579
CARHR049570	591
CARHR037650	228
CARHR046780	552
CARHR147050	1653
CARHR240460	543
CARHR277160	2582
CARHR219820	1413
CARHR131920	4165
CARHR123600	1350
CARHR045470	276
CARHR183340	159
CARHR238290	1124
CARHR145370	2643
CARHR044780	1440
CARHR180690	2286
CARHR096630	2358
CARHR046870	645
CARHR161450	1164
CARHR169300	1185
CARHR133210	1458
CARHR178480	645
CARHR097320	1602
CARHR150910	1638
CARHR236530	2910
CARHR121760	1776
CARHR232890	666
CARHR129570	2114
CARHR293410	213
CARHR186440	2748
CARHR126380	2155
CARHR165480	1503
CARHR155270	1134
CARHR127030	195
CARHR255080	3608
CARHR119200	6137
CARHR011500	1560
CARHR246700	2289
CARHR181870	3060
CARHR111770	165
CARHR244390	1578
CARHR197870	4754
CARHR160500	255
CARHR092070	192
CARHR254680	2087
CARHR211630	1170
CARHR193550	3855
CARHR216360	255
CARHR255550	606
CARHR241740	279
CARHR059290	798
CARHR098850	797
CARHR288810	447
CARHR021190	2286
CARHR162900	1075
CARHR166680	1664
CARHR043200	369
CARHR126920	4675
CARHR252680	201
CARHR094160	2741
CARHR050720	1842
CARHR268200	1476
CARHR243280	864
CARHR248730	1143
CARHR122230	2616
CARHR099180	441
CARHR040950	1259
CARHR044430	2089
CARHR020820	648
CARHR105730	1569
CARHR116690	1245
CARHR181250	372
CARHR120560	459
CARHR021440	3081
CARHR114200	399
CARHR118550	861
CARHR189400	219
CARHR233850	5813
CARHR237370	1009
CARHR017210	1596
CARHR026870	2134
CARHR158760	936
CARHR139840	369
CARHR252020	912
CARHR091070	1989
CARHR243860	1812
CARHR191020	1317
CARHR294140	1682
CARHR099720	876
CARHR012360	3358
CARHR184750	204
CARHR247150	1134
CARHR051090	2202
CARHR055770	4019
CARHR064410	2224
CARHR010290	501
CARHR168820	378
CARHR199560	1366
CARHR028440	3250
CARHR245420	4252
CARHR182750	1023
CARHR162680	1078
CARHR057730	2088
CARHR268970	465
CARHR020310	1440
CARHR112330	687
CARHR032460	654
CARHR052010	1329
CARHR091690	2076
CARHR266530	924
CARHR071940	1982
CARHR102170	288
CARHR092520	1275
CARHR190770	3129
CARHR185400	1080
CARHR149270	566
CARHR163550	1154
CARHR013010	882
CARHR220010	351
CARHR158350	1050
CARHR227540	813
CARHR023750	1467
CARHR078540	1191
CARHR198210	1446
CARHR214450	3463
CARHR027040	1239
CARHR057190	524
CARHR258650	231
CARHR250460	555
CARHR112590	330
CARHR227090	1071
CARHR253840	414
CARHR114990	2197
CARHR197460	2442
CARHR146940	759
CARHR250790	859
CARHR093690	2075
CARHR106410	1266
CARHR116170	524
CARHR143530	609
CARHR147090	1386
CARHR098440	1525
CARHR210220	2157
CARHR103620	2390
CARHR144540	1744
CARHR022400	1527
CARHR197790	189
CARHR007080	792
CARHR104810	612
CARHR026310	1143
CARHR137550	762
CARHR262530	237
CARHR278970	1698
CARHR248630	948
CARHR093340	3350
CARHR025750	2360
CARHR024800	2004
CARHR021830	2403
CARHR130780	3568
CARHR132310	4257
CARHR072550	2295
CARHR251400	1188
CARHR223730	765
CARHR180860	1752
CARHR177270	1188
CARHR255940	1284
CARHR067490	1232
CARHR194840	1473
CARHR275830	1463
CARHR066720	1680
CARHR179280	1828
CARHR285440	1341
CARHR211170	1338
CARHR213900	1127
CARHR278350	675
CARHR281530	1938
CARHR145630	420
CARHR109470	396
CARHR077450	252
CARHR136200	636
CARHR270570	1278
CARHR101660	918
CARHR085260	1575
CARHR033400	1809
CARHR269610	1085
CARHR264260	1611
CARHR030170	1593
CARHR141390	927
CARHR268560	1693
CARHR104100	1138
CARHR124650	255
CARHR135570	1749
CARHR073200	2162
CARHR131660	3189
CARHR084160	222
CARHR006020	3069
CARHR037230	1188
CARHR175700	561
CARHR261370	719
CARHR222060	1323
CARHR139470	600
CARHR226760	1093
CARHR207070	642
CARHR263280	252
CARHR228600	1296
CARHR225230	234
CARHR138780	846
CARHR027860	474
CARHR284310	1552
CARHR040240	1708
CARHR101080	762
CARHR083950	1134
CARHR275300	1571
CARHR224720	777
CARHR264480	7275
CARHR112070	258
CARHR139780	438
CARHR199970	1775
CARHR263760	678
CARHR146150	700
CARHR221000	456
CARHR241130	2229
CARHR279480	3073
CARHR206930	1251
CARHR001730	435
CARHR262880	1713
CARHR172350	1300
CARHR146690	1017
CARHR084600	1210
CARHR260020	1047
CARHR276760	865
CARHR083370	1380
CARHR015740	1903
CARHR125290	5130
CARHR272070	2362
CARHR224180	363
CARHR130200	2926
CARHR010360	2480
CARHR071200	1410
CARHR151140	402
CARHR018240	2270
CARHR138430	715
CARHR230960	1236
CARHR037820	412
CARHR137960	4055
CARHR240660	816
CARHR287150	2788
CARHR285940	726
CARHR000460	2292
CARHR008610	1911
CARHR175360	1642
CARHR043840	864
CARHR174010	910
CARHR097420	3572
CARHR277410	1623
CARHR089110	1170
CARHR273300	486
CARHR094680	2079
CARHR171190	918
CARHR097120	1065
CARHR182780	243
CARHR088860	579
CARHR071440	996
CARHR129770	465
CARHR155070	1891
CARHR274820	906
CARHR205560	1377
CARHR127630	1398
CARHR156400	1032
CARHR023410	1851
CARHR123520	1713
CARHR097690	1416
CARHR286200	477
CARHR228980	891
CARHR082770	1098
CARHR072960	1146
CARHR076260	938
CARHR002910	3325
CARHR080730	2246
CARHR123290	528
CARHR200420	3159
CARHR088240	982
CARHR090470	348
CARHR218250	1494
CARHR170240	2488
CARHR271810	1242
CARHR044230	1380
CARHR006920	3715
CARHR177730	969
CARHR041550	321
CARHR120360	558
CARHR055800	240
CARHR069840	3079
CARHR204210	1753
CARHR178810	1785
CARHR289370	435
CARHR259250	1383
CARHR248240	300
CARHR161060	4008
CARHR153910	1279
CARHR086290	584
CARHR237170	270
CARHR119950	660
CARHR272890	2390
CARHR033360	2227
CARHR179860	486
CARHR154030	1791
CARHR150790	555
CARHR232610	1053
CARHR002000	1713
CARHR065120	3291
CARHR036620	486
CARHR161920	1365
CARHR287630	2793
CARHR064650	1455
CARHR010050	711
CARHR234610	717
CARHR229210	1807
CARHR291290	300
CARHR226240	1719
CARHR094570	3240
CARHR248860	645
CARHR285160	841
CARHR044900	3238
CARHR195240	7243
CARHR162610	411
CARHR173290	1531
CARHR212640	1561
CARHR219610	675
CARHR288690	844
CARHR162780	498
CARHR069150	297
CARHR052250	384
CARHR193950	1868
CARHR245150	2327
CARHR266730	1910
CARHR097900	471
CARHR241890	921
CARHR121100	834
CARHR127990	971
CARHR149070	917
CARHR237820	1569
CARHR208840	962
CARHR152790	555
CARHR266080	2530
CARHR157560	1013
CARHR063000	762
CARHR239460	2047
CARHR228160	681
CARHR214690	681
CARHR283640	726
CARHR043300	816
CARHR244930	330
CARHR164830	2145
CARHR158620	3419
CARHR064380	1845
CARHR003830	2655
CARHR281790	2914
CARHR256830	657
CARHR292240	3598
CARHR028930	390
CARHR011090	2328
CARHR018720	4839
CARHR163430	1179
CARHR178380	216
CARHR241270	1812
CARHR017800	3546
CARHR189740	1425
CARHR068400	2219
CARHR122450	825
CARHR164780	2550
CARHR215870	1239
CARHR172650	4426
CARHR176570	2400
CARHR143730	2232
CARHR086270	2236
CARHR175000	2148
CARHR053610	540
CARHR144700	995
CARHR148850	2351
CARHR276400	2043
CARHR160200	1421
CARHR054960	3303
CARHR240630	1837
CARHR168770	882
CARHR093100	1473
CARHR143080	252
CARHR205970	2901
CARHR201290	810
CARHR089870	1257
CARHR045620	984
CARHR242320	618
CARHR186760	336
CARHR126220	3668
CARHR112900	1242
CARHR293590	1770
CARHR012540	2672
CARHR215250	822
CARHR058190	4323
CARHR179920	567
CARHR042160	2425
CARHR251200	770
CARHR291570	3845
CARHR280690	861
CARHR059820	1413
CARHR066520	927
CARHR078940	1374
CARHR019090	4850
CARHR183680	993
CARHR236700	630
CARHR190980	870
CARHR293620	414
CARHR254520	2038
CARHR162000	429
CARHR054340	1567
CARHR117990	501
CARHR245670	966
CARHR289640	666
CARHR196200	2288
CARHR161550	456
CARHR098050	729
CARHR034370	2020
CARHR165070	2060
CARHR048210	1509
CARHR210750	975
CARHR249380	681
CARHR243120	4031
CARHR019540	3955
CARHR044570	1164
CARHR100840	816
CARHR110410	528
CARHR093810	555
CARHR141930	597
CARHR245980	2936
CARHR149810	966
CARHR193180	183
CARHR216750	333
CARHR013630	1038
CARHR188650	5238
CARHR269360	1177
CARHR181930	1490
CARHR249650	2318
CARHR268010	1583
CARHR104690	600
CARHR263040	3155
CARHR075340	5251
CARHR051440	1767
CARHR180330	204
CARHR017390	2301
CARHR165690	2564
CARHR212980	567
CARHR251970	495
CARHR060960	579
CARHR059310	3005
CARHR166520	3509
CARHR181680	303
CARHR154950	450
CARHR244580	1516
CARHR167690	3091
CARHR065240	1829
CARHR017020	3228
CARHR242290	2664
CARHR196970	828
CARHR185300	594
CARHR029210	1728
CARHR116710	327
CARHR021760	2744
CARHR269940	1377
CARHR222700	1188
CARHR244630	618
CARHR192270	1047
CARHR217800	1218
CARHR141620	3946
CARHR167340	240
CARHR093970	1951
CARHR055920	2051
CARHR026930	3425
CARHR242740	234
CARHR256310	393
CARHR052930	498
CARHR056690	696
CARHR114410	495
CARHR102690	2607
CARHR034470	645
CARHR118740	1980
CARHR221240	854
CARHR138230	3628
CARHR035700	501
CARHR220190	2853
CARHR206010	2014
CARHR026680	826
CARHR010550	2973
CARHR024270	3190
CARHR264810	1633
CARHR182650	1395
CARHR098120	408
CARHR273370	1272
CARHR191610	923
CARHR140330	666
CARHR198530	1698
CARHR163840	1201
CARHR055880	882
CARHR207370	459
CARHR009850	1870
CARHR102030	411
CARHR227970	459
CARHR113870	195
CARHR117140	2318
CARHR214860	837
CARHR058830	4475
CARHR109780	1149
CARHR259200	1233
CARHR115430	750
CARHR063260	1028
CARHR261550	379
CARHR138900	1203
CARHR257190	231
CARHR291250	507
CARHR209240	2975
CARHR232980	744
CARHR092770	3628
CARHR043120	603
CARHR128060	1209
CARHR076060	1161
CARHR079070	3957
CARHR233050	1736
CARHR025650	4342
CARHR265070	543
CARHR032160	1185
CARHR227350	1380
CARHR136500	459
CARHR263890	921
CARHR230390	1521
CARHR079260	693
CARHR068360	162
CARHR250610	2552
CARHR170000	3811
CARHR155320	450
CARHR073500	3295
CARHR077080	333
CARHR001910	582
CARHR251560	582
CARHR008890	1704
CARHR103780	1073
CARHR286120	861
CARHR108660	282
CARHR197610	285
CARHR260600	846
CARHR258370	642
CARHR278830	453
CARHR100470	318
CARHR224760	249
CARHR202370	1773
CARHR101780	907
CARHR210410	327
CARHR264380	699
CARHR222450	2469
CARHR076930	1048
CARHR100780	876
CARHR036420	300
CARHR026100	1095
CARHR262760	741
CARHR278780	1458
CARHR233100	1498
CARHR259390	2375
CARHR265380	1098
CARHR033610	1260
CARHR234450	1386
CARHR238130	655
CARHR140230	192
CARHR269000	1026
CARHR226480	1761
CARHR264030	3996
CARHR285760	1780
CARHR074570	3401
CARHR038730	2601
CARHR034860	3263
CARHR132500	633
CARHR128960	1626
CARHR281470	684
CARHR007540	1116
CARHR274770	1794
CARHR223500	3336
CARHR196560	1691
CARHR006490	2977
CARHR259020	3215
CARHR229760	1738
CARHR139620	1755
CARHR000790	1533
CARHR273920	1986
CARHR053780	186
CARHR144690	959
CARHR002320	4779
CARHR124190	993
CARHR221900	1118
CARHR225680	3270
CARHR109200	908
CARHR265920	2820
CARHR173720	423
CARHR175910	345
CARHR261230	552
CARHR047240	189
CARHR241170	219
CARHR101430	1791
CARHR125820	567
CARHR163350	3022
CARHR273690	1656
CARHR239660	1818
CARHR002490	525
CARHR075620	2292
CARHR104240	2570
CARHR124440	693
CARHR271200	402
CARHR039460	1410
CARHR031610	1948
CARHR214340	1467
CARHR279070	1746
CARHR070050	843
CARHR224770	207
CARHR085760	741
CARHR134210	1378
CARHR123870	303
CARHR034130	978
CARHR014620	754
CARHR138570	1008
CARHR228410	1050
CARHR005560	753
CARHR001670	1853
CARHR131360	1149
CARHR009440	1041
CARHR105190	2895
CARHR230640	1956
CARHR172090	1833
CARHR176770	597
CARHR133290	1748
CARHR071010	1269
CARHR008790	429
CARHR178630	987
CARHR286900	1128
CARHR279690	3015
CARHR174730	405
CARHR125310	660
CARHR277330	1649
CARHR270640	3996
CARHR111120	2320
CARHR171010	3434
CARHR156940	3075
CARHR086120	1378
CARHR287050	1764
CARHR042360	438
CARHR235410	1170
CARHR130010	222
CARHR236140	417
CARHR094350	2882
CARHR076540	2846
CARHR126750	2207
CARHR129920	1008
CARHR293020	2228
CARHR165890	1143
CARHR015280	1755
CARHR090840	2919
CARHR122040	324
CARHR174190	450
CARHR240030	1601
CARHR187160	2815
CARHR089090	3154
CARHR014570	1946
CARHR277590	1739
CARHR231240	1612
CARHR000230	2629
CARHR008420	2528
CARHR160950	1488
CARHR007950	2397
CARHR166790	213
CARHR110650	1332
CARHR081690	1401
CARHR271990	2564
CARHR042980	1107
CARHR282100	555
CARHR201940	1215
CARHR089320	1803
CARHR097710	1428
CARHR249410	2573
CARHR273170	2574
CARHR204530	2209
CARHR200090	1788
CARHR209720	399
CARHR045350	486
CARHR099570	183
CARHR044000	1485
CARHR203540	1945
CARHR110380	1437
CARHR127400	1940
CARHR095400	1191
CARHR231860	1352
CARHR123310	1205
CARHR218100	768
CARHR041180	1113
CARHR120750	195
CARHR019700	2265
CARHR082920	852
CARHR062130	1898
CARHR040270	1758
CARHR121800	699
CARHR020160	1170
CARHR124830	762
CARHR065080	1251
CARHR017620	294
CARHR155550	1566
CARHR013530	3936
CARHR238890	1689
CARHR292850	1371
CARHR045970	468
CARHR068070	6661
CARHR192070	600
CARHR252270	189
CARHR282810	459
CARHR242500	636
CARHR219790	708
CARHR190500	795
CARHR289840	2344
CARHR013280	3544
CARHR158120	264
CARHR202630	2638
CARHR246470	414
CARHR152400	1071
CARHR150450	750
CARHR162080	2650
CARHR148260	969
CARHR060720	4506
CARHR049380	2772
CARHR218770	210
CARHR051930	3023
CARHR206390	651
CARHR047720	2241
CARHR219420	744
CARHR267650	315
CARHR154200	1149
CARHR238270	525
CARHR010390	2745
CARHR048800	381
CARHR091400	1089
CARHR094430	1050
CARHR291310	1760
CARHR118230	480
CARHR063900	1684
CARHR167100	714
CARHR198730	1458
CARHR185850	429
CARHR158780	2223
CARHR029940	2401
CARHR120330	1161
CARHR122860	540
CARHR187980	207
CARHR193850	1218
CARHR064020	1774
CARHR229400	495
CARHR288710	159
CARHR280520	2324
CARHR189110	1545
CARHR028010	3641
CARHR293810	2728
CARHR198080	321
CARHR244900	942
CARHR164660	915
CARHR215930	216
CARHR158870	1610
CARHR156820	1818
CARHR189330	1453
CARHR213300	1650
CARHR217680	2029
CARHR179220	1458
CARHR147350	1141
CARHR191750	1489
CARHR257350	1623
CARHR092170	2832
CARHR095380	1175
CARHR149600	771
CARHR142650	4533
CARHR049040	838
CARHR046090	1433
CARHR215680	270
CARHR240950	1862
CARHR201550	1767
CARHR136740	912
CARHR052770	3009
CARHR115140	1883
CARHR266290	1581
CARHR011110	2788
CARHR167810	1584
CARHR043110	948
CARHR079060	2730
CARHR290540	1149
CARHR143290	2670
CARHR046540	1860
CARHR182850	1003
CARHR189800	1128
CARHR235350	1561
CARHR067590	2617
CARHR169410	953
CARHR292030	258
CARHR053790	2659
CARHR244010	861
CARHR192810	1505
CARHR190080	3367
CARHR183180	1722
CARHR187410	654
CARHR186350	1938
CARHR068610	645
CARHR250360	1941
CARHR242880	1311
CARHR106840	501
CARHR251010	4049
CARHR048390	1428
CARHR111240	2859
CARHR053420	387
CARHR144110	423
CARHR197360	153
CARHR254190	976
CARHR211300	774
CARHR145860	1077
CARHR180980	471
CARHR073740	921
CARHR042640	2531
CARHR048020	403
CARHR074770	3825
CARHR045010	7356
CARHR264630	1056
CARHR183720	711
CARHR126410	729
CARHR260520	327
CARHR050210	423
CARHR268730	5735
CARHR058760	1063
CARHR250940	1567
CARHR155960	1717
CARHR151260	222
CARHR181760	819
CARHR024180	1860
CARHR021350	4700
CARHR022910	4438
CARHR118190	912
CARHR260290	381
CARHR016230	2174
CARHR197940	513
CARHR294060	2250
CARHR145240	1281
CARHR196010	1254
CARHR161740	819
CARHR216650	1431
CARHR289430	999
CARHR245820	516
CARHR255240	390
CARHR101230	375
CARHR166770	1977
CARHR252730	504
CARHR243370	1479
CARHR263360	1404
CARHR099030	2292
CARHR027980	1036
CARHR268190	441
CARHR079570	2342
CARHR195660	3281
CARHR055060	600
CARHR212820	1387
CARHR140740	1536
CARHR228180	1357
CARHR030850	507
CARHR036690	258
CARHR020400	1490
CARHR083520	3287
CARHR079800	333
CARHR115970	735
CARHR119620	183
CARHR222920	243
CARHR139350	1401
CARHR113480	1732
CARHR240870	477
CARHR138000	3305
CARHR184840	822
CARHR055680	1662
CARHR258550	453
CARHR101900	960
CARHR168790	543
CARHR224400	927
CARHR029000	1053
CARHR064920	504
CARHR256290	1029
CARHR287660	653
CARHR114590	2291
CARHR221780	2770
CARHR171250	7143
CARHR161730	225
CARHR057680	701
CARHR179670	585
CARHR112280	4278
CARHR026760	3019
CARHR262100	1419
CARHR139970	663
CARHR264990	1554
CARHR102350	213
CARHR056080	492
CARHR035050	1105
CARHR091360	2070
CARHR071650	2301
CARHR114620	462
CARHR038910	1952
CARHR057350	255
CARHR076380	3502
CARHR031890	4170
CARHR035570	429
CARHR220780	2794
CARHR008380	1910
CARHR106300	2028
CARHR024400	1308
CARHR166700	1470
CARHR259600	510
CARHR182440	216
CARHR227830	1929
CARHR028750	261
CARHR008220	1904
CARHR132090	2701
CARHR084890	633
CARHR086000	2402
CARHR220430	273
CARHR281920	4081
CARHR134800	1155
CARHR261450	1434
CARHR227780	591
CARHR257650	579
CARHR253570	390
CARHR204730	2326
CARHR250000	1617
CARHR104520	591
CARHR170610	1080
CARHR203700	1519
CARHR202100	786
CARHR287440	201
CARHR177960	1119
CARHR023840	1692
CARHR194570	900
CARHR204080	1662
CARHR027170	2113
CARHR144870	915
CARHR278660	636
CARHR100620	1506
CARHR039790	186
CARHR025440	1934
CARHR265220	1119
CARHR277900	1212
CARHR131540	2172
CARHR033130	558
CARHR276170	1344
CARHR008910	2837
CARHR107160	1443
CARHR159250	1971
CARHR025360	1374
CARHR232460	3092
CARHR035000	282
CARHR135040	535
CARHR233730	2379
CARHR277220	1680
CARHR006510	2303
CARHR177340	1245
CARHR272990	816
CARHR222550	2855
CARHR226070	4318
CARHR285350	3814
CARHR197000	4341
CARHR040070	498
CARHR284400	315
CARHR101570	985
CARHR275410	216
CARHR238070	978
CARHR264170	636
CARHR033790	1602
CARHR023570	486
CARHR038670	390
CARHR130630	195
CARHR108360	873
CARHR030440	597
CARHR031790	510
CARHR152340	2099
CARHR172440	513
CARHR034340	291
CARHR033860	1551
CARHR226690	369
CARHR210380	1389
CARHR133470	1050
CARHR084330	679
CARHR163110	2140
CARHR225520	639
CARHR132770	1398
CARHR164460	900
CARHR168120	1125
CARHR070240	3531
CARHR134020	903
CARHR282760	282
CARHR139010	1248
CARHR234170	2262
CARHR002510	741
CARHR273710	1185
CARHR124760	1244
CARHR018950	1738
CARHR281150	878
CARHR005150	876
CARHR109010	1128
CARHR206620	2380
CARHR224340	1977
CARHR004200	3396
CARHR009630	1412
CARHR179750	2334
CARHR176920	1978
CARHR280400	2195
CARHR123930	1271
CARHR186030	1134
CARHR171930	726
CARHR175690	198
CARHR239030	2759
CARHR014180	2585
CARHR087150	3313
CARHR043750	680
CARHR228590	1475
CARHR271410	1437
CARHR276290	870
CARHR039230	1420
CARHR035960	1383
CARHR031420	1577
CARHR015850	1103
CARHR089420	231
CARHR169650	1573
CARHR123680	1308
CARHR018370	3081
CARHR014450	522
CARHR121270	1742
CARHR146750	774
CARHR186110	2295
CARHR129060	873
CARHR230410	2011
CARHR220840	420
CARHR015580	1656
CARHR013860	1155
CARHR235620	243
CARHR188420	1054
CARHR169380	1191
CARHR292540	483
CARHR067840	792
CARHR178400	495
CARHR111080	1146
CARHR082060	1908
CARHR283170	612
CARHR241550	1904
CARHR276870	222
CARHR001350	1605
CARHR054530	699
CARHR042080	393
CARHR046700	795
CARHR272140	6896
CARHR078630	2166
CARHR059160	2011
CARHR246780	896
CARHR003260	1725
CARHR048620	4303
CARHR244310	1930
CARHR094250	1593
CARHR200110	1090
CARHR129680	2341
CARHR088770	1921
CARHR286530	186
CARHR015320	1878
CARHR044700	1568
CARHR180610	294
CARHR187640	2244
CARHR127300	3722
CARHR181560	1554
CARHR041060	1197
CARHR120650	720
CARHR082680	1721
CARHR021110	3965
CARHR175390	564
CARHR066950	2410
CARHR218090	2607
CARHR240200	735
CARHR237660	804
CARHR193260	684
CARHR165400	1915
CARHR187390	1041
CARHR255000	1107
CARHR166170	753
CARHR154500	1360
CARHR150080	522
CARHR019930	1745
CARHR232100	2100
CARHR016740	4289
CARHR211850	2129
CARHR012050	530
CARHR247660	1128
CARHR110020	813
CARHR161230	3023
CARHR241470	978
CARHR289140	705
CARHR050940	438
CARHR043350	507
CARHR218630	1158
CARHR020640	1020
CARHR237080	234
CARHR195950	1440
CARHR151930	966
CARHR095610	1536
CARHR017540	1074
CARHR051010	216
CARHR219320	1918
CARHR119420	2781
CARHR123100	1419
CARHR174620	1059
CARHR080680	1757
CARHR113640	426
CARHR207230	2471
CARHR153570	2698
CARHR020390	1650
CARHR117730	495
CARHR186930	648
CARHR188160	450
CARHR188990	1036
CARHR208570	3975
CARHR010740	1719
CARHR080350	632
CARHR192600	760
CARHR199650	940
CARHR011830	918
CARHR014840	1200
CARHR239950	1872
CARHR195370	990
CARHR214980	201
CARHR065540	984
