# Program:featureCounts v1.6.0; Command:"/home/jqsun/local/bin/featureCounts" "-T" "1" "-s" "1" "-t" "gene" "-g" "ID" "-a" "/home/jqsun/research/data/genome/IWGSC_RefSeq_v1.1_CS/iwgsc_refseqv1.1_genes_2017July06/IWGSC_v1.1_HC_20170706.ext_1.0k.chrD.gff3" "-o" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.counts.homeolog.txt" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam" 
Geneid	Chr	Start	End	Strand	Length	20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam
TraesCS1D02G280200	chr1D	378102865	378106618	-	3754	25
TraesCS1D02G280300	chr1D	378699220	378704710	+	5491	0
TraesCS1D02G280400	chr1D	378866190	378869073	-	2884	0
TraesCS1D02G280500	chr1D	378870191	378872879	-	2689	0
TraesCS1D02G280600	chr1D	379130650	379133979	+	3330	82
TraesCS1D02G280700	chr1D	379136395	379145818	-	9424	4
TraesCS1D02G280800	chr1D	379428971	379433507	+	4537	30
TraesCS1D02G280900	chr1D	379433233	379437030	-	3798	4
TraesCS1D02G281000	chr1D	379453148	379457348	+	4201	26
TraesCS1D02G281100	chr1D	379457960	379460178	-	2219	0
TraesCS1D02G281200	chr1D	379466613	379473316	-	6704	0
TraesCS1D02G281300	chr1D	379473779	379477788	-	4010	16
TraesCS1D02G281400	chr1D	379481389	379485785	-	4397	0
TraesCS1D02G281500	chr1D	379493417	379497222	-	3806	0
TraesCS1D02G281600	chr1D	379497222	379500404	-	3183	0
TraesCS1D02G281700	chr1D	379500404	379505759	-	5356	0
TraesCS1D02G281800	chr1D	379507086	379509976	-	2891	13
TraesCS1D02G281900	chr1D	379580356	379583260	+	2905	14
TraesCS1D02G282000	chr1D	379582457	379584167	-	1711	0
TraesCS1D02G282100	chr1D	379586173	379587495	+	1323	0
TraesCS1D02G282200	chr1D	379585448	379591266	-	5819	0
TraesCS1D02G282300	chr1D	379784212	379788113	+	3902	31
TraesCS1D02G282400	chr1D	379789969	379798215	+	8247	3
TraesCS1D02G282500	chr1D	379795335	379797841	-	2507	0
TraesCS1D02G282600	chr1D	379909433	379912869	-	3437	0
TraesCS1D02G282700	chr1D	380769157	380774193	+	5037	0
TraesCS1D02G282800	chr1D	381004740	381008814	+	4075	0
TraesCS1D02G282900	chr1D	381009927	381017026	+	7100	36
TraesCS1D02G283000	chr1D	381018550	381022145	+	3596	0
TraesCS1D02G283100	chr1D	381029470	381037248	-	7779	0
TraesCS1D02G283200	chr1D	381046076	381049054	+	2979	4
TraesCS1D02G283300	chr1D	381063767	381068455	+	4689	0
TraesCS1D02G283400	chr1D	381304588	381312921	+	8334	0
TraesCS1D02G283500	chr1D	381313940	381316235	+	2296	0
TraesCS1D02G283600	chr1D	381965887	381973811	+	7925	0
TraesCS1D02G283700	chr1D	381973811	381976837	+	3027	0
TraesCS1D02G283800	chr1D	382203402	382206943	+	3542	52
TraesCS1D02G283900	chr1D	382218946	382225129	+	6184	0
TraesCS1D02G284000	chr1D	382233086	382237773	-	4688	0
TraesCS1D02G284100	chr1D	382255849	382258109	-	2261	0
TraesCS1D02G284200	chr1D	382632558	382636902	+	4345	126
TraesCS1D02G284300	chr1D	382719755	382720353	+	599	0
TraesCS1D02G284400	chr1D	382720269	382723279	-	3011	14
TraesCS1D02G284500	chr1D	382723279	382726073	-	2795	0
TraesCS1D02G284600	chr1D	382726218	382729838	-	3621	8
TraesCS1D02G284700	chr1D	382732196	382743701	-	11506	0
TraesCS1D02G284800	chr1D	382892913	382901563	+	8651	0
TraesCS1D02G284900	chr1D	382916208	382928430	+	12223	0
TraesCS1D02G285000	chr1D	383156727	383174887	+	18161	0
TraesCS1D02G285100	chr1D	383250693	383254997	-	4305	0
TraesCS1D02G285200	chr1D	383313269	383316921	-	3653	66
TraesCS1D02G285300	chr1D	383318680	383321554	-	2875	45
TraesCS1D02G285400	chr1D	383344466	383346195	+	1730	0
TraesCS1D02G285500	chr1D	383362077	383364514	-	2438	0
TraesCS1D02G285600	chr1D	383721048	383723409	-	2362	0
TraesCS1D02G285700	chr1D	383753713	383756027	-	2315	0
TraesCS1D02G285800	chr1D	383757335	383760623	-	3289	20
TraesCS1D02G285900	chr1D	384126115	384127942	+	1828	0
TraesCS1D02G286000	chr1D	384140072	384144538	+	4467	2
TraesCS1D02G286100	chr1D	384145794	384148136	-	2343	0
TraesCS1D02G286200	chr1D	384472914	384475288	-	2375	4
TraesCS1D02G286300	chr1D	384507834	384517026	-	9193	10
TraesCS1D02G286400	chr1D	384832135	384834508	+	2374	2
TraesCS1D02G286500	chr1D	384834782	384844216	-	9435	0
TraesCS1D02G286600	chr1D	384844216	384845112	-	897	0
TraesCS1D02G286700	chr1D	384845538	384847143	-	1606	0
TraesCS1D02G286800	chr1D	384975755	384979270	-	3516	0
TraesCS1D02G286900	chr1D	385050942	385053371	-	2430	3
TraesCS1D02G287000	chr1D	385116613	385135016	+	18404	0
TraesCS1D02G287100	chr1D	385614809	385617839	-	3031	0
TraesCS1D02G287200	chr1D	385618367	385622549	+	4183	0
TraesCS1D02G287300	chr1D	385622725	385628662	-	5938	0
TraesCS1D02G287400	chr1D	385802967	385808526	+	5560	0
TraesCS1D02G287500	chr1D	385808061	385813082	-	5022	0
TraesCS1D02G287600	chr1D	386118575	386127952	-	9378	0
TraesCS1D02G287700	chr1D	386153869	386163040	+	9172	0
TraesCS1D02G287800	chr1D	386162926	386166375	-	3450	0
TraesCS1D02G287900	chr1D	386420023	386425550	+	5528	0
TraesCS1D02G288000	chr1D	386430312	386435440	+	5129	0
TraesCS1D02G288100	chr1D	386748800	386750042	-	1243	0
TraesCS1D02G288200	chr1D	386785759	386787019	-	1261	0
TraesCS1D02G288300	chr1D	386812895	386814355	-	1461	0
TraesCS1D02G288400	chr1D	386895204	386896392	-	1189	0
TraesCS1D02G288500	chr1D	386939673	386941283	-	1611	0
TraesCS1D02G288600	chr1D	386943007	386944195	-	1189	0
TraesCS1D02G288700	chr1D	386949389	386951155	+	1767	0
TraesCS1D02G288800	chr1D	387060054	387061527	+	1474	0
TraesCS1D02G288900	chr1D	387192619	387198017	-	5399	11
TraesCS1D02G289000	chr1D	387193732	387194926	+	1195	0
TraesCS1D02G289100	chr1D	387216044	387217898	+	1855	22
TraesCS1D02G289200	chr1D	387215044	387224643	-	9600	3
TraesCS1D02G289300	chr1D	387423339	387428925	+	5587	0
TraesCS1D02G289400	chr1D	387430154	387434349	-	4196	0
TraesCS1D02G289500	chr1D	387547256	387549758	-	2503	0
TraesCS1D02G289600	chr1D	387550192	387554862	-	4671	0
TraesCS1D02G289700	chr1D	387795590	387800918	-	5329	0
TraesCS1D02G289800	chr1D	387893784	387898194	-	4411	12
TraesCS1D02G289900	chr1D	387943012	387950720	-	7709	2
TraesCS1D02G290000	chr1D	388024542	388026154	+	1613	0
TraesCS1D02G290100	chr1D	388027026	388028776	+	1751	6
TraesCS1D02G290200	chr1D	388603565	388605136	+	1572	0
TraesCS1D02G290300	chr1D	388604466	388606531	-	2066	0
TraesCS1D02G290400	chr1D	388628122	388629778	-	1657	0
TraesCS1D02G290500	chr1D	388635631	388638550	+	2920	2
TraesCS1D02G290600	chr1D	388638168	388644416	-	6249	26
TraesCS1D02G290700	chr1D	388644449	388653819	-	9371	0
TraesCS1D02G290800	chr1D	388990990	388994753	+	3764	0
TraesCS1D02G290900	chr1D	389213019	389217362	+	4344	0
TraesCS1D02G291000	chr1D	389244640	389247470	+	2831	0
TraesCS1D02G291100	chr1D	389426555	389429319	-	2765	0
TraesCS1D02G291200	chr1D	389484489	389485971	-	1483	0
TraesCS1D02G291300	chr1D	389489689	389491750	+	2062	0
TraesCS1D02G291400	chr1D	389492813	389525376	-	32564	0
TraesCS1D02G291500	chr1D	389796461	389803073	+	6613	0
TraesCS1D02G291600	chr1D	390578366	390581224	-	2859	0
TraesCS1D02G291700	chr1D	390665841	390667761	+	1921	0
TraesCS1D02G291800	chr1D	390669997	390671657	-	1661	0
TraesCS1D02G291900	chr1D	390678395	390687195	-	8801	0
TraesCS1D02G292000	chr1D	391274779	391278097	-	3319	9
TraesCS1D02G292100	chr1D	391308527	391313564	+	5038	160
TraesCS1D02G292200	chr1D	391312874	391317001	-	4128	0
TraesCS1D02G292300	chr1D	391317043	391326294	+	9252	0
TraesCS1D02G292400	chr1D	391321560	391327431	-	5872	27
TraesCS1D02G292500	chr1D	391338150	391340441	-	2292	35
TraesCS1D02G292600	chr1D	391738127	391743530	+	5404	4
TraesCS1D02G292700	chr1D	391860635	391864613	+	3979	11
TraesCS1D02G292800	chr1D	392018844	392022708	+	3865	0
TraesCS1D02G292900	chr1D	392025092	392026958	-	1867	0
TraesCS1D02G293000	chr1D	392129728	392133462	-	3735	0
TraesCS1D02G293100	chr1D	392133462	392139140	-	5679	48
TraesCS1D02G293200	chr1D	392139140	392144667	-	5528	5
TraesCS1D02G293300	chr1D	392146274	392148662	-	2389	3
TraesCS1D02G293400	chr1D	392553165	392562115	+	8951	3
TraesCS1D02G293500	chr1D	392569565	392573604	-	4040	0
TraesCS1D02G293600	chr1D	392696780	392698872	+	2093	0
TraesCS1D02G293700	chr1D	392785776	392787834	-	2059	0
TraesCS1D02G293800	chr1D	392789454	392790855	-	1402	0
TraesCS1D02G293900	chr1D	392942466	392945380	-	2915	5
TraesCS1D02G294000	chr1D	392947471	392949969	-	2499	0
TraesCS1D02G294100	chr1D	392966868	392968341	-	1474	0
TraesCS1D02G294200	chr1D	393032410	393034618	-	2209	0
TraesCS1D02G294300	chr1D	393476283	393477963	+	1681	0
TraesCS1D02G294400	chr1D	393687539	393695995	+	8457	0
TraesCS1D02G294500	chr1D	393732401	393738556	+	6156	5
TraesCS1D02G294600	chr1D	393748454	393750733	-	2280	0
TraesCS1D02G294700	chr1D	393771014	393775761	+	4748	0
TraesCS1D02G294800	chr1D	393929242	393930997	+	1756	0
TraesCS1D02G294900	chr1D	393949537	393951163	-	1627	0
TraesCS1D02G295000	chr1D	393951954	393954447	-	2494	0
TraesCS1D02G295100	chr1D	394060054	394062649	+	2596	0
TraesCS1D02G295200	chr1D	394175613	394176729	-	1117	0
TraesCS1D02G295300	chr1D	394176729	394176871	-	143	0
TraesCS1D02G295400	chr1D	394176871	394177133	-	263	0
TraesCS1D02G295500	chr1D	394179344	394180439	+	1096	0
TraesCS1D02G295600	chr1D	394181077	394182277	+	1201	0
TraesCS1D02G295700	chr1D	394182789	394186648	+	3860	0
TraesCS1D02G295800	chr1D	394253364	394259396	+	6033	42
TraesCS1D02G295900	chr1D	394268300	394274070	+	5771	4
TraesCS1D02G296000	chr1D	394274326	394276982	+	2657	0
TraesCS1D02G296100	chr1D	394276936	394279732	-	2797	0
TraesCS1D02G296200	chr1D	394403593	394404970	+	1378	0
TraesCS1D02G296300	chr1D	394407370	394409737	-	2368	17
TraesCS1D02G296400	chr1D	394450608	394452186	-	1579	0
TraesCS1D02G296500	chr1D	394466710	394468566	+	1857	7
TraesCS1D02G296600	chr1D	394669377	394673155	-	3779	0
TraesCS1D02G296700	chr1D	394704624	394706570	+	1947	0
TraesCS1D02G296800	chr1D	394894904	394896551	+	1648	0
TraesCS1D02G296900	chr1D	394947818	394950368	-	2551	0
TraesCS1D02G297000	chr1D	395100283	395102206	-	1924	0
TraesCS1D02G297100	chr1D	395449854	395452241	-	2388	0
TraesCS1D02G297200	chr1D	395557411	395559665	-	2255	0
TraesCS1D02G297300	chr1D	395627461	395631502	+	4042	0
TraesCS1D02G297400	chr1D	395876890	395880639	+	3750	0
TraesCS1D02G297500	chr1D	395880507	395882057	-	1551	0
TraesCS1D02G297600	chr1D	395992057	395995285	-	3229	0
TraesCS1D02G297700	chr1D	395996490	396006880	-	10391	0
TraesCS1D02G297800	chr1D	396150971	396168091	+	17121	0
TraesCS1D02G297900	chr1D	396181090	396185656	-	4567	0
TraesCS1D02G298000	chr1D	396187762	396191286	+	3525	0
TraesCS1D02G298100	chr1D	396190354	396194762	-	4409	0
TraesCS1D02G298200	chr1D	396332095	396336816	+	4722	0
TraesCS1D02G298284	chr1D	396877642	396879127	+	1486	0
TraesCS1D02G298300	chr1D	397067422	397071528	+	4107	0
TraesCS1D02G298400	chr1D	397072273	397079005	+	6733	0
TraesCS1D02G298500	chr1D	397078781	397082358	-	3578	0
TraesCS1D02G298600	chr1D	397086174	397087452	-	1279	0
TraesCS1D02G298700	chr1D	397087452	397088444	-	993	0
TraesCS1D02G298800	chr1D	397089360	397089804	+	445	0
TraesCS1D02G298900	chr1D	397089804	397091022	+	1219	0
TraesCS1D02G299000	chr1D	397109214	397110461	+	1248	0
TraesCS1D02G299100	chr1D	397168502	397170804	-	2303	0
TraesCS1D02G299200	chr1D	397175249	397180761	-	5513	0
TraesCS1D02G299300	chr1D	397235652	397239799	+	4148	0
TraesCS1D02G299400	chr1D	397284920	397289727	+	4808	1
TraesCS1D02G299500	chr1D	397630119	397632615	+	2497	0
TraesCS1D02G299600	chr1D	397634723	397636204	+	1482	0
TraesCS1D02G299700	chr1D	397971980	397974178	-	2199	0
TraesCS1D02G299800	chr1D	398093791	398097850	+	4060	0
TraesCS1D02G299900	chr1D	398121569	398123144	+	1576	0
TraesCS1D02G300000	chr1D	398379698	398381569	+	1872	0
TraesCS1D02G300100	chr1D	398381500	398382021	-	522	0
TraesCS1D02G300200	chr1D	398456323	398460823	+	4501	9
TraesCS1D02G300300	chr1D	398465722	398467972	-	2251	0
TraesCS1D02G300400	chr1D	398475575	398484613	-	9039	0
TraesCS1D02G300500	chr1D	398549101	398551507	-	2407	0
TraesCS1D02G300600	chr1D	398556976	398560967	-	3992	0
TraesCS1D02G300700	chr1D	398850878	398853228	-	2351	0
TraesCS1D02G300900	chr1D	398870265	398874102	-	3838	0
TraesCS1D02G301000	chr1D	398968453	398972010	-	3558	0
TraesCS1D02G301100	chr1D	398972593	398977773	+	5181	43
TraesCS1D02G301200	chr1D	398975661	398978825	-	3165	0
TraesCS1D02G301300	chr1D	398978924	398983175	-	4252	18
TraesCS1D02G301400	chr1D	399186990	399191865	-	4876	0
TraesCS1D02G301500	chr1D	399261824	399263876	-	2053	0
TraesCS1D02G301600	chr1D	399325333	399327768	+	2436	0
TraesCS1D02G301700	chr1D	399391605	399394839	-	3235	0
TraesCS1D02G301800	chr1D	399412170	399415228	-	3059	0
TraesCS1D02G301900	chr1D	399820579	399825110	+	4532	0
TraesCS1D02G302000	chr1D	399936331	399948455	+	12125	8
TraesCS1D02G302100	chr1D	399946455	399950546	-	4092	0
TraesCS1D02G302200	chr1D	400012436	400017396	-	4961	10
TraesCS1D02G302300	chr1D	400060984	400064315	+	3332	54
TraesCS1D02G302400	chr1D	400063429	400066836	-	3408	0
TraesCS1D02G302500	chr1D	400110433	400119460	-	9028	0
TraesCS1D02G302600	chr1D	400171522	400184678	+	13157	0
TraesCS1D02G302700	chr1D	400358584	400360587	+	2004	0
TraesCS1D02G302800	chr1D	400777155	400782365	+	5211	3
TraesCS1D02G302900	chr1D	400792357	400794941	+	2585	0
TraesCS1D02G303000	chr1D	400949658	400951120	-	1463	0
TraesCS1D02G303100	chr1D	400954622	400956684	-	2063	0
TraesCS1D02G303200	chr1D	401130976	401135160	-	4185	0
TraesCS1D02G303300	chr1D	401161020	401162874	+	1855	0
TraesCS1D02G303400	chr1D	401197451	401200400	+	2950	0
TraesCS1D02G303500	chr1D	401357566	401360394	+	2829	0
TraesCS1D02G303600	chr1D	401562800	401566150	-	3351	0
TraesCS1D02G303700	chr1D	401665525	401672077	-	6553	42
TraesCS1D02G303800	chr1D	401672592	401676568	-	3977	4
TraesCS1D02G303900	chr1D	401676711	401686455	+	9745	0
TraesCS1D02G304000	chr1D	401706507	401718636	-	12130	0
TraesCS1D02G304100	chr1D	401772826	401775089	-	2264	0
TraesCS1D02G304200	chr1D	401919304	401921281	-	1978	0
TraesCS1D02G304300	chr1D	402004522	402006499	-	1978	0
TraesCS1D02G304400	chr1D	402049566	402051543	-	1978	0
TraesCS1D02G304500	chr1D	402106084	402108061	-	1978	0
TraesCS1D02G304600	chr1D	402124187	402132454	-	8268	0
TraesCS1D02G304700	chr1D	402294199	402297134	+	2936	8
TraesCS1D02G304800	chr1D	402319212	402326064	-	6853	2
TraesCS1D02G304900	chr1D	402337601	402340611	-	3011	0
TraesCS1D02G305000	chr1D	402438050	402439819	+	1770	0
TraesCS1D02G305100	chr1D	402822624	402826101	+	3478	9
TraesCS1D02G305200	chr1D	402823137	402826579	-	3443	0
TraesCS1D02G305300	chr1D	402831365	402835491	-	4127	0
TraesCS1D02G305400	chr1D	403038666	403042800	+	4135	41
TraesCS1D02G305500	chr1D	403048241	403053953	+	5713	0
TraesCS1D02G305600	chr1D	403054693	403059048	+	4356	0
TraesCS1D02G305700	chr1D	403058083	403060525	-	2443	10
TraesCS1D02G305800	chr1D	403060525	403066270	-	5746	0
TraesCS1D02G305900	chr1D	403234691	403239527	-	4837	50
TraesCS1D02G306000	chr1D	403273278	403278398	+	5121	0
TraesCS1D02G306100	chr1D	403280369	403284462	-	4094	0
TraesCS1D02G306200	chr1D	403333903	403336201	-	2299	0
TraesCS1D02G306300	chr1D	403374980	403377894	-	2915	0
TraesCS1D02G306400	chr1D	403527231	403529465	-	2235	0
TraesCS1D02G306500	chr1D	403548257	403551047	-	2791	0
TraesCS1D02G306600	chr1D	403555060	403559946	-	4887	6
TraesCS1D02G306700	chr1D	403559946	403563003	-	3058	13
TraesCS1D02G306800	chr1D	403563178	403566518	+	3341	165
TraesCS1D02G306900	chr1D	403663846	403665528	+	1683	0
TraesCS1D02G307000	chr1D	403666998	403668793	+	1796	0
TraesCS1D02G307100	chr1D	403695043	403702800	+	7758	11
TraesCS1D02G307200	chr1D	403705777	403708739	-	2963	8
TraesCS1D02G307300	chr1D	403719140	403722726	-	3587	0
TraesCS1D02G307400	chr1D	403723298	403726660	-	3363	3
TraesCS1D02G307500	chr1D	403726660	403733133	-	6474	0
TraesCS1D02G307600	chr1D	403938618	403940844	-	2227	0
TraesCS1D02G307700	chr1D	403944128	403950909	-	6782	0
TraesCS1D02G307800	chr1D	404058144	404063231	-	5088	0
TraesCS1D02G307900	chr1D	404065144	404067575	-	2432	0
TraesCS1D02G308000	chr1D	404135888	404137340	-	1453	6
TraesCS1D02G308100	chr1D	404137340	404139952	-	2613	9
TraesCS1D02G308200	chr1D	404142555	404147368	-	4814	0
TraesCS1D02G308300	chr1D	404237519	404240014	-	2496	0
TraesCS1D02G308400	chr1D	404258746	404261050	-	2305	0
TraesCS1D02G308500	chr1D	404287262	404305136	-	17875	0
TraesCS1D02G308600	chr1D	404489352	404492479	-	3128	0
TraesCS1D02G308700	chr1D	404655631	404657107	+	1477	0
TraesCS1D02G308800	chr1D	404967654	404971054	-	3401	0
TraesCS1D02G308821	chr1D	404979959	404982306	+	2348	0
TraesCS1D02G308900	chr1D	405055248	405058806	+	3559	0
TraesCS1D02G309000	chr1D	405065989	405071734	+	5746	0
TraesCS1D02G309100	chr1D	405107603	405110001	+	2399	0
TraesCS1D02G309200	chr1D	405109600	405113789	-	4190	0
TraesCS1D02G309300	chr1D	405164064	405167732	+	3669	0
TraesCS1D02G309400	chr1D	405280728	405284585	+	3858	0
TraesCS1D02G309500	chr1D	405363964	405365566	+	1603	0
TraesCS1D02G309600	chr1D	405365436	405372641	-	7206	0
TraesCS1D02G309700	chr1D	405373552	405376372	-	2821	0
TraesCS1D02G309800	chr1D	405401798	405404786	+	2989	0
TraesCS1D02G309900	chr1D	405763093	405765991	+	2899	0
TraesCS1D02G310000	chr1D	405803150	405809072	+	5923	17
TraesCS1D02G310100	chr1D	406125590	406130847	-	5258	0
TraesCS1D02G310200	chr1D	406545874	406552140	+	6267	12
TraesCS1D02G310300	chr1D	406551732	406552876	-	1145	0
TraesCS1D02G310400	chr1D	406553713	406559739	-	6027	0
TraesCS1D02G310500	chr1D	406565659	406567406	+	1748	0
TraesCS1D02G310600	chr1D	406639645	406645609	-	5965	0
TraesCS1D02G310700	chr1D	406675068	406677000	-	1933	0
TraesCS1D02G310800	chr1D	406819252	406823196	+	3945	0
TraesCS1D02G310900	chr1D	406972758	406975935	+	3178	28
TraesCS1D02G311000	chr1D	407158790	407161900	-	3111	0
TraesCS1D02G311100	chr1D	407207238	407209146	-	1909	0
TraesCS1D02G311200	chr1D	407213224	407216818	-	3595	0
TraesCS1D02G311300	chr1D	407220233	407222143	+	1911	0
TraesCS1D02G311400	chr1D	407615255	407625690	+	10436	43
TraesCS1D02G311500	chr1D	407668695	407675046	-	6352	0
TraesCS1D02G311600	chr1D	407695879	407697526	+	1648	0
TraesCS1D02G311700	chr1D	407807908	407809570	+	1663	0
TraesCS1D02G311900	chr1D	407823302	407825296	+	1995	0
TraesCS1D02G312000	chr1D	407861708	407863290	-	1583	0
TraesCS1D02G312100	chr1D	407871328	407876746	+	5419	3
TraesCS1D02G312200	chr1D	407876901	407878584	-	1684	0
TraesCS1D02G312300	chr1D	407915372	407918093	-	2722	0
TraesCS1D02G312400	chr1D	408248369	408252041	-	3673	0
TraesCS1D02G312500	chr1D	408384872	408409443	+	24572	0
TraesCS1D02G312600	chr1D	408431786	408436115	+	4330	0
TraesCS1D02G312700	chr1D	408511724	408515670	+	3947	0
TraesCS1D02G312800	chr1D	408526319	408531346	+	5028	102
TraesCS1D02G312900	chr1D	408534016	408536433	+	2418	15
TraesCS1D02G313000	chr1D	408557444	408558824	+	1381	0
TraesCS1D02G313100	chr1D	408613105	408614914	+	1810	0
TraesCS1D02G313200	chr1D	408625222	408628072	+	2851	0
TraesCS1D02G313300	chr1D	408711368	408713288	+	1921	0
TraesCS1D02G313400	chr1D	408745199	408746744	+	1546	0
TraesCS1D02G313500	chr1D	408847509	408848844	+	1336	0
TraesCS1D02G313600	chr1D	408889984	408892143	+	2160	0
TraesCS1D02G313700	chr1D	409046425	409048850	+	2426	0
TraesCS1D02G313800	chr1D	409048674	409052150	-	3477	12
TraesCS1D02G313900	chr1D	409057285	409064697	-	7413	0
TraesCS1D02G314000	chr1D	409065700	409070918	-	5219	0
TraesCS1D02G314100	chr1D	409346868	409349200	-	2333	0
TraesCS1D02G314200	chr1D	409495431	409504532	-	9102	0
TraesCS1D02G314300	chr1D	409523546	409526203	-	2658	0
TraesCS1D02G314400	chr1D	409534763	409541619	+	6857	0
TraesCS1D02G314500	chr1D	409575937	409577539	-	1603	0
TraesCS1D02G314600	chr1D	409786591	409798580	+	11990	6
TraesCS1D02G314700	chr1D	409797605	409799369	-	1765	0
TraesCS1D02G314800	chr1D	410070174	410072405	-	2232	48
TraesCS1D02G314900	chr1D	410463181	410469102	-	5922	0
TraesCS1D02G315000	chr1D	410470429	410472367	-	1939	0
TraesCS1D02G315100	chr1D	410481091	410482997	-	1907	0
TraesCS1D02G315200	chr1D	410489296	410491201	-	1906	0
TraesCS1D02G315300	chr1D	410496156	410497616	+	1461	0
TraesCS1D02G315400	chr1D	410500752	410511202	-	10451	0
TraesCS1D02G315500	chr1D	410600260	410603541	-	3282	0
TraesCS1D02G315600	chr1D	410738774	410744828	+	6055	6
TraesCS1D02G315700	chr1D	410790391	410793556	+	3166	11
TraesCS1D02G315800	chr1D	410792684	410798235	-	5552	0
TraesCS1D02G315900	chr1D	411058981	411060580	+	1600	0
TraesCS1D02G316000	chr1D	411208324	411210000	-	1677	0
TraesCS1D02G316100	chr1D	411513001	411515232	-	2232	0
TraesCS1D02G316200	chr1D	411557837	411578180	+	20344	0
TraesCS1D02G316300	chr1D	411694963	411702967	+	8005	0
TraesCS1D02G316400	chr1D	411697802	411699532	+	1731	0
TraesCS1D02G316500	chr1D	411719541	411721068	+	1528	0
TraesCS1D02G316600	chr1D	411730535	411732242	+	1708	0
TraesCS1D02G316700	chr1D	411744569	411746078	+	1510	0
TraesCS1D02G316800	chr1D	411749715	411751443	+	1729	0
TraesCS1D02G316900	chr1D	412022204	412024857	+	2654	336
TraesCS1D02G317000	chr1D	412023900	412028296	-	4397	0
TraesCS1D02G317100	chr1D	412073785	412083721	+	9937	0
TraesCS1D02G317200	chr1D	412156633	412160471	-	3839	0
TraesCS1D02G317211	chr1D	412160471	412163311	-	2841	0
TraesCS1D02G317301	chr1D	412216776	412219631	-	2856	0
TraesCS1D02G317300	chr1D	412222432	412224112	-	1681	0
TraesCS1D02G317400	chr1D	412225932	412230338	+	4407	0
TraesCS1D02G317500	chr1D	412233799	412240165	+	6367	0
TraesCS1D02G317600	chr1D	412461820	412464003	+	2184	0
TraesCS1D02G317700	chr1D	412507090	412509635	+	2546	0
TraesCS1D02G317800	chr1D	412642134	412644584	+	2451	0
TraesCS1D02G317900	chr1D	412660390	412662889	+	2500	0
TraesCS1D02G318000	chr1D	412683958	412686547	+	2590	0
TraesCS1D02G318100	chr1D	412746121	412748601	+	2481	0
TraesCS1D02G318200	chr1D	412763284	412765764	+	2481	0
TraesCS1D02G318300	chr1D	412786747	412789084	+	2338	0
TraesCS1D02G318400	chr1D	412814566	412816596	+	2031	0
TraesCS1D02G318500	chr1D	412854952	412856946	+	1995	0
TraesCS1D02G318600	chr1D	412897665	412900109	+	2445	0
TraesCS1D02G318700	chr1D	413061624	413064056	+	2433	0
TraesCS1D02G318800	chr1D	413212546	413214504	+	1959	0
TraesCS1D02G318900	chr1D	413214198	413218757	-	4560	0
TraesCS1D02G319000	chr1D	413224898	413227581	+	2684	0
TraesCS1D02G319100	chr1D	413231937	413234551	-	2615	0
TraesCS1D02G319200	chr1D	413410872	413412900	-	2029	1
TraesCS1D02G319300	chr1D	413414580	413416180	-	1601	0
TraesCS1D02G319400	chr1D	413577519	413580164	+	2646	19
TraesCS1D02G319500	chr1D	413662297	413664969	+	2673	0
TraesCS1D02G319600	chr1D	413697403	413699199	+	1797	0
TraesCS1D02G319700	chr1D	413729433	413732794	+	3362	0
TraesCS1D02G319800	chr1D	413775440	413780745	+	5306	0
TraesCS1D02G320000	chr1D	413928194	413931757	-	3564	0
TraesCS1D02G320100	chr1D	414278647	414282820	+	4174	0
TraesCS1D02G320200	chr1D	414282429	414287346	-	4918	0
TraesCS1D02G320300	chr1D	414299825	414304306	-	4482	115
TraesCS1D02G320400	chr1D	414439351	414441310	-	1960	0
TraesCS1D02G320500	chr1D	414443020	414484091	+	41072	0
TraesCS1D02G320600	chr1D	414447724	414450870	-	3147	0
TraesCS1D02G320700	chr1D	414492036	414494410	+	2375	0
TraesCS1D02G320800	chr1D	414502749	414510485	+	7737	0
TraesCS1D02G320900	chr1D	414563860	414567149	+	3290	0
TraesCS1D02G321000	chr1D	414566174	414569247	-	3074	0
TraesCS1D02G321100	chr1D	414706779	414708723	+	1945	0
TraesCS1D02G321300	chr1D	414775539	414779229	+	3691	22
TraesCS1D02G321500	chr1D	414939648	414941487	-	1840	0
TraesCS1D02G321600	chr1D	415051660	415053565	-	1906	0
TraesCS1D02G321700	chr1D	415143883	415146330	-	2448	0
TraesCS1D02G321800	chr1D	415266671	415267952	-	1282	0
TraesCS1D02G321900	chr1D	415269576	415271238	-	1663	0
TraesCS1D02G322000	chr1D	415281364	415288209	+	6846	3
TraesCS1D02G322100	chr1D	415290867	415295587	+	4721	14
TraesCS1D02G322200	chr1D	415299482	415301384	+	1903	0
TraesCS1D02G322300	chr1D	415392295	415396461	-	4167	4
TraesCS1D02G322339	chr1D	415401305	415405535	+	4231	0
TraesCS1D02G322400	chr1D	415412265	415422096	-	9832	39
TraesCS1D02G322500	chr1D	415422253	415425143	+	2891	0
TraesCS1D02G322600	chr1D	415433777	415436238	-	2462	0
TraesCS1D02G322700	chr1D	415450174	415452310	-	2137	0
TraesCS1D02G322800	chr1D	415597483	415598963	+	1481	0
TraesCS1D02G322900	chr1D	415598152	415602455	-	4304	0
