# Program:featureCounts v1.6.0; Command:"/home/jqsun/local/bin/featureCounts" "-T" "1" "-s" "1" "-t" "gene" "-g" "ID" "-a" "/home/jqsun/research/data/genome/IWGSC_RefSeq_v1.1_CS/iwgsc_refseqv1.1_genes_2017July06/IWGSC_v1.1_HC_20170706.ext_1.0k.chrA.gff3" "-o" "20181109.A-TaeRS_1_Tae_RS1_1.chrA.counts.homeolog.txt" "20181109.A-TaeRS_1_Tae_RS1_1.chrA.homeolog.ref.bam" 
Geneid	Chr	Start	End	Strand	Length	20181109.A-TaeRS_1_Tae_RS1_1.chrA.homeolog.ref.bam
TraesCS2A02G321800	chr2A	551445641	551451571	-	5931	0
TraesCS2A02G321900	chr2A	551460282	551463211	-	2930	0
TraesCS2A02G322000	chr2A	551466713	551469209	-	2497	0
TraesCS2A02G322100	chr2A	551479885	551482488	-	2604	0
TraesCS2A02G322200	chr2A	551494790	551498492	+	3703	0
TraesCS2A02G322300	chr2A	551528639	551532785	+	4147	27
TraesCS2A02G322400	chr2A	551714126	551721391	+	7266	0
TraesCS2A02G322500	chr2A	551721391	551724486	+	3096	19
TraesCS2A02G322600	chr2A	551814764	551821643	-	6880	0
TraesCS2A02G322700	chr2A	552471448	552488928	+	17481	4
TraesCS2A02G322800	chr2A	552489683	552495270	+	5588	0
TraesCS2A02G322900	chr2A	552495979	552497731	+	1753	0
TraesCS2A02G323000	chr2A	552836951	552840178	-	3228	2
TraesCS2A02G323100	chr2A	553263816	553277486	+	13671	0
TraesCS2A02G323200	chr2A	553277305	553280315	-	3011	0
TraesCS2A02G323300	chr2A	553480770	553482941	+	2172	0
TraesCS2A02G323500	chr2A	553482390	553491815	-	9426	18
TraesCS2A02G323400	chr2A	553483084	553485250	+	2167	0
TraesCS2A02G323600	chr2A	553757944	553759821	-	1878	0
TraesCS2A02G323700	chr2A	554012069	554020812	+	8744	6
TraesCS2A02G323800	chr2A	554076379	554080422	-	4044	0
TraesCS2A02G323900	chr2A	554099153	554104427	-	5275	0
TraesCS2A02G324000	chr2A	554414948	554417279	+	2332	0
TraesCS2A02G324100	chr2A	554428328	554430493	+	2166	0
TraesCS2A02G324200	chr2A	554450885	554454311	+	3427	2
TraesCS2A02G324300	chr2A	554510789	554512280	-	1492	0
TraesCS2A02G324400	chr2A	554517842	554519566	-	1725	0
TraesCS2A02G324500	chr2A	554519566	554520845	-	1280	0
TraesCS2A02G324600	chr2A	554577170	554578883	+	1714	0
TraesCS2A02G324700	chr2A	554737170	554742912	+	5743	6
TraesCS2A02G324800	chr2A	554740210	554744092	-	3883	0
TraesCS2A02G324900	chr2A	554819322	554826519	-	7198	0
TraesCS2A02G325000	chr2A	554824020	554827817	+	3798	0
TraesCS2A02G325100	chr2A	554833631	554836614	+	2984	0
TraesCS2A02G325200	chr2A	555332121	555337098	-	4978	13
TraesCS2A02G325300	chr2A	555398897	555400466	+	1570	0
TraesCS2A02G325400	chr2A	555424894	555430013	-	5120	1
TraesCS2A02G325500	chr2A	555817124	555821144	+	4021	0
TraesCS2A02G325600	chr2A	555821144	555825211	+	4068	7
TraesCS2A02G325700	chr2A	555824354	555830969	-	6616	0
TraesCS2A02G325800	chr2A	555886225	555890119	+	3895	3
TraesCS2A02G325900	chr2A	556104771	556110368	-	5598	0
TraesCS2A02G326000	chr2A	556950279	556951921	+	1643	0
TraesCS2A02G326100	chr2A	556986275	556989032	+	2758	8
TraesCS2A02G326200	chr2A	557046034	557051519	+	5486	76
TraesCS2A02G326300	chr2A	557057177	557062046	+	4870	0
TraesCS2A02G326400	chr2A	557313918	557322375	+	8458	0
TraesCS2A02G326500	chr2A	557399010	557403899	+	4890	0
TraesCS2A02G326600	chr2A	558088677	558094200	+	5524	0
TraesCS2A02G326700	chr2A	558466177	558468919	+	2743	0
TraesCS2A02G326800	chr2A	558475711	558477259	-	1549	0
TraesCS2A02G326900	chr2A	558480924	558482433	+	1510	0
TraesCS2A02G327000	chr2A	558524990	558530719	+	5730	39
TraesCS2A02G327100	chr2A	558530282	558534595	-	4314	26
TraesCS2A02G327200	chr2A	558647170	558652840	-	5671	0
TraesCS2A02G327300	chr2A	558946242	558952218	-	5977	0
TraesCS2A02G327500	chr2A	559081506	559085919	+	4414	0
TraesCS2A02G327600	chr2A	559109043	559117433	+	8391	65
TraesCS2A02G327700	chr2A	559117020	559121614	-	4595	0
TraesCS2A02G327800	chr2A	559609256	559610767	+	1512	0
TraesCS2A02G327900	chr2A	559620641	559623138	+	2498	18
TraesCS2A02G328000	chr2A	559666217	559671819	+	5603	0
TraesCS2A02G328100	chr2A	559667730	559670205	-	2476	0
TraesCS2A02G328200	chr2A	559748317	559749910	-	1594	0
TraesCS2A02G328300	chr2A	559828162	559829755	-	1594	0
TraesCS2A02G328400	chr2A	559833352	559836574	-	3223	0
TraesCS2A02G328500	chr2A	560679505	560681262	-	1758	0
TraesCS2A02G328600	chr2A	560684598	560691383	-	6786	0
TraesCS2A02G328700	chr2A	560771998	560773528	+	1531	0
TraesCS2A02G328800	chr2A	560781620	560784028	-	2409	0
TraesCS2A02G328900	chr2A	561008585	561010871	+	2287	0
TraesCS2A02G329000	chr2A	561022542	561027269	+	4728	0
TraesCS2A02G329100	chr2A	561264308	561271489	+	7182	0
TraesCS2A02G329200	chr2A	561279124	561289177	+	10054	0
TraesCS2A02G329300	chr2A	561551674	561553621	+	1948	0
TraesCS2A02G329400	chr2A	561553032	561556509	-	3478	0
TraesCS2A02G329500	chr2A	561852878	561855062	+	2185	0
TraesCS2A02G329600	chr2A	562093004	562095005	+	2002	0
TraesCS2A02G329700	chr2A	562096470	562101246	-	4777	0
TraesCS2A02G329800	chr2A	562103527	562106283	-	2757	0
TraesCS2A02G329900	chr2A	562508017	562510082	+	2066	1
TraesCS2A02G330000	chr2A	562509588	562513297	-	3710	15
TraesCS2A02G330100	chr2A	562513297	562528643	-	15347	0
TraesCS2A02G330200	chr2A	562600205	562605956	-	5752	0
TraesCS2A02G330300	chr2A	562681275	562683297	+	2023	0
TraesCS2A02G330400	chr2A	562686187	562688255	+	2069	0
TraesCS2A02G330500	chr2A	562980339	562986619	+	6281	0
TraesCS2A02G330600	chr2A	563202402	563204119	+	1718	21
TraesCS2A02G330700	chr2A	563257248	563261046	+	3799	0
TraesCS2A02G330800	chr2A	563258874	563260173	-	1300	0
TraesCS2A02G330900	chr2A	563764827	563773584	+	8758	0
TraesCS2A02G331000	chr2A	563938600	563942130	+	3531	6
TraesCS2A02G331100	chr2A	564098214	564108165	+	9952	0
TraesCS2A02G331200	chr2A	564218248	564220889	+	2642	0
TraesCS2A02G331300	chr2A	564263545	564267880	+	4336	2
TraesCS2A02G331400	chr2A	564495851	564499146	+	3296	1
TraesCS2A02G331500	chr2A	564499953	564501065	+	1113	0
TraesCS2A02G331600	chr2A	564500123	564503950	-	3828	129
TraesCS2A02G331700	chr2A	564611917	564616446	+	4530	4
TraesCS2A02G331800	chr2A	564615807	564620855	-	5049	0
TraesCS2A02G331900	chr2A	565169231	565173408	+	4178	0
TraesCS2A02G332000	chr2A	565234324	565271447	+	37124	0
TraesCS2A02G332100	chr2A	565256029	565257803	+	1775	0
TraesCS2A02G332200	chr2A	565262286	565264000	+	1715	0
TraesCS2A02G332300	chr2A	565274926	565276383	+	1458	0
TraesCS2A02G332400	chr2A	565282909	565284437	+	1529	0
TraesCS2A02G332500	chr2A	565288185	565290027	+	1843	0
TraesCS2A02G332600	chr2A	565313322	565315009	+	1688	0
TraesCS2A02G332700	chr2A	565348937	565350764	+	1828	0
TraesCS2A02G332800	chr2A	565368202	565370065	+	1864	0
TraesCS2A02G332900	chr2A	565373092	565374626	+	1535	0
TraesCS2A02G333000	chr2A	565743316	565745562	+	2247	0
TraesCS2A02G333100	chr2A	566083466	566085264	+	1799	0
TraesCS2A02G333200	chr2A	566207430	566215180	+	7751	0
TraesCS2A02G333300	chr2A	566454172	566460706	+	6535	0
TraesCS2A02G333400	chr2A	566851047	566857326	+	6280	0
TraesCS2A02G333500	chr2A	566857871	566859881	-	2011	0
TraesCS2A02G333600	chr2A	566985482	566986979	-	1498	0
TraesCS2A02G333700	chr2A	567376627	567379285	+	2659	0
TraesCS2A02G333800	chr2A	567379146	567382258	-	3113	0
TraesCS2A02G333900	chr2A	567725771	567735196	+	9426	0
TraesCS2A02G334000	chr2A	567735196	567737166	+	1971	0
TraesCS2A02G334100	chr2A	568272957	568284105	+	11149	1
TraesCS2A02G334200	chr2A	568284105	568287659	+	3555	0
TraesCS2A02G334300	chr2A	568285091	568292117	-	7027	6
TraesCS2A02G334400	chr2A	568300975	568302687	+	1713	0
TraesCS2A02G334500	chr2A	568305857	568314163	-	8307	0
TraesCS2A02G334600	chr2A	568399774	568406206	+	6433	6
TraesCS2A02G334700	chr2A	568409961	568420668	-	10708	0
TraesCS2A02G334800	chr2A	568483563	568485451	+	1889	0
TraesCS2A02G334900	chr2A	568577923	568579139	+	1217	0
TraesCS2A02G335000	chr2A	568578775	568583895	-	5121	0
TraesCS2A02G335100	chr2A	569196853	569203732	-	6880	13
TraesCS2A02G335200	chr2A	569204240	569209458	-	5219	37
TraesCS2A02G335300	chr2A	569209786	569216004	-	6219	0
TraesCS2A02G335400	chr2A	569274228	569284881	+	10654	10
TraesCS2A02G335500	chr2A	569292880	569299533	-	6654	0
TraesCS2A02G335600	chr2A	569362189	569366169	-	3981	0
TraesCS2A02G335700	chr2A	569583592	569589099	-	5508	50
TraesCS2A02G335800	chr2A	569901951	569907394	+	5444	0
TraesCS2A02G335900	chr2A	569904400	569905852	-	1453	0
TraesCS2A02G336000	chr2A	569997598	570003817	+	6220	0
TraesCS2A02G336100	chr2A	570007284	570010611	+	3328	0
TraesCS2A02G336200	chr2A	570013765	570015517	+	1753	0
TraesCS2A02G336300	chr2A	570150056	570152481	+	2426	0
TraesCS2A02G336400	chr2A	570153786	570157090	-	3305	5
TraesCS2A02G336500	chr2A	570189214	570192811	+	3598	23
TraesCS2A02G336600	chr2A	570192811	570195518	+	2708	0
TraesCS2A02G336700	chr2A	570195203	570197627	-	2425	0
TraesCS2A02G336800	chr2A	570266487	570268836	-	2350	0
TraesCS2A02G336900	chr2A	570500686	570502532	-	1847	0
TraesCS2A02G337000	chr2A	570606773	570610369	+	3597	0
TraesCS2A02G337100	chr2A	570724213	570726070	+	1858	19
TraesCS2A02G337200	chr2A	570730029	570733733	+	3705	0
TraesCS2A02G337300	chr2A	570781629	570785964	-	4336	81
TraesCS2A02G337400	chr2A	570931054	570934113	+	3060	0
TraesCS2A02G337500	chr2A	571019338	571020631	+	1294	0
TraesCS2A02G337600	chr2A	571147779	571149635	+	1857	3
TraesCS2A02G337700	chr2A	571149443	571150423	-	981	0
TraesCS2A02G337800	chr2A	571463558	571467794	+	4237	0
TraesCS2A02G337900	chr2A	572053907	572068800	-	14894	0
TraesCS2A02G338000	chr2A	572448755	572453329	+	4575	0
TraesCS2A02G338100	chr2A	572478123	572480776	-	2654	35
TraesCS2A02G338200	chr2A	572484408	572488147	-	3740	0
TraesCS2A02G338300	chr2A	572613556	572616351	-	2796	0
TraesCS2A02G338400	chr2A	572698063	572703712	-	5650	0
TraesCS2A02G338500	chr2A	572705588	572706473	+	886	0
TraesCS2A02G338600	chr2A	572705749	572708153	-	2405	0
TraesCS2A02G338700	chr2A	572712946	572714553	+	1608	0
TraesCS2A02G338800	chr2A	572745865	572748390	-	2526	0
TraesCS2A02G338900	chr2A	572800504	572808118	-	7615	0
TraesCS2A02G339000	chr2A	572811426	572817163	+	5738	0
TraesCS2A02G339100	chr2A	572839773	572842262	-	2490	0
TraesCS2A02G339200	chr2A	573334887	573337850	-	2964	8
TraesCS2A02G339300	chr2A	573365983	573367291	-	1309	0
TraesCS2A02G339400	chr2A	573367291	573379701	-	12411	0
TraesCS2A02G339500	chr2A	573394468	573400793	+	6326	8
TraesCS2A02G339600	chr2A	574166955	574169439	-	2485	0
TraesCS2A02G339700	chr2A	574264161	574265703	-	1543	0
TraesCS2A02G339800	chr2A	574753728	574756700	+	2973	0
TraesCS2A02G339900	chr2A	574960761	574966332	-	5572	14
TraesCS2A02G340000	chr2A	574970638	574975983	+	5346	2
TraesCS2A02G340100	chr2A	574975547	574981007	-	5461	0
TraesCS2A02G340200	chr2A	575060393	575061871	-	1479	0
TraesCS2A02G340300	chr2A	575371752	575374203	-	2452	0
TraesCS2A02G340400	chr2A	575598590	575608786	+	10197	0
TraesCS2A02G340500	chr2A	575679267	575683559	-	4293	0
TraesCS2A02G340600	chr2A	575685906	575695709	+	9804	0
TraesCS2A02G340700	chr2A	576069851	576075713	+	5863	0
TraesCS2A02G340800	chr2A	576335527	576341108	+	5582	0
TraesCS2A02G340900	chr2A	576356402	576361351	-	4950	4
TraesCS2A02G341000	chr2A	576656623	576659424	-	2802	0
TraesCS2A02G341100	chr2A	576663616	576666523	+	2908	0
TraesCS2A02G341300	chr2A	577211407	577213594	-	2188	0
TraesCS2A02G341400	chr2A	578117661	578123558	+	5898	0
TraesCS2A02G341500	chr2A	578159299	578164871	-	5573	5
TraesCS2A02G341600	chr2A	578375118	578376741	-	1624	0
TraesCS2A02G341700	chr2A	578378693	578380531	-	1839	0
TraesCS2A02G341800	chr2A	578385118	578394059	-	8942	13
TraesCS2A02G341900	chr2A	578601781	578609249	+	7469	3
TraesCS2A02G342000	chr2A	578653630	578656455	+	2826	0
TraesCS2A02G342100	chr2A	578901784	578904219	-	2436	48
TraesCS2A02G342200	chr2A	579074688	579077306	+	2619	0
TraesCS2A02G342300	chr2A	579440270	579442893	+	2624	0
TraesCS2A02G342400	chr2A	579442896	579447001	-	4106	0
TraesCS2A02G342500	chr2A	579583207	579585607	+	2401	0
TraesCS2A02G342600	chr2A	579614762	579617095	-	2334	14
TraesCS2A02G342700	chr2A	579697083	579701060	-	3978	20
TraesCS2A02G342800	chr2A	579852301	579857818	-	5518	7
TraesCS2A02G342900	chr2A	579890584	579893035	+	2452	0
TraesCS2A02G343000	chr2A	579971900	579973442	+	1543	0
TraesCS2A02G343100	chr2A	580016609	580023752	-	7144	15
TraesCS2A02G343200	chr2A	580248867	580252131	+	3265	18
TraesCS2A02G343300	chr2A	580252131	580255014	+	2884	0
TraesCS2A02G343400	chr2A	580281084	580283937	+	2854	0
TraesCS2A02G343500	chr2A	580321541	580326224	+	4684	0
TraesCS2A02G343600	chr2A	580382495	580386815	+	4321	0
TraesCS2A02G343700	chr2A	580509712	580511035	+	1324	0
TraesCS2A02G343800	chr2A	580720388	580723290	+	2903	0
TraesCS2A02G343900	chr2A	580758183	580762482	+	4300	3
TraesCS2A02G344000	chr2A	580847584	580850780	+	3197	0
TraesCS2A02G344100	chr2A	580849791	580852034	-	2244	0
TraesCS2A02G344200	chr2A	580852034	580854673	-	2640	0
TraesCS2A02G344300	chr2A	581162889	581170813	-	7925	0
TraesCS2A02G344400	chr2A	581577209	581578225	+	1017	24
TraesCS2A02G344500	chr2A	581578211	581583169	-	4959	0
TraesCS2A02G344600	chr2A	581941117	581943597	+	2481	0
TraesCS2A02G344700	chr2A	581962743	581965230	-	2488	0
TraesCS2A02G344800	chr2A	582633003	582636993	-	3991	0
TraesCS2A02G344900	chr2A	582636993	582642714	-	5722	32
TraesCS2A02G345000	chr2A	582839798	582842352	+	2555	0
TraesCS2A02G345100	chr2A	583102574	583104908	-	2335	0
TraesCS2A02G345200	chr2A	583251742	583254611	-	2870	0
TraesCS2A02G345300	chr2A	583827561	583837236	+	9676	0
TraesCS2A02G345400	chr2A	583837689	583842556	+	4868	20
TraesCS2A02G345500	chr2A	583842398	583844753	-	2356	16
TraesCS2A02G345600	chr2A	584047704	584052656	+	4953	0
TraesCS2A02G345700	chr2A	584052519	584053267	-	749	0
TraesCS2A02G345800	chr2A	584062793	584067834	+	5042	0
TraesCS2A02G345900	chr2A	584143334	584145280	+	1947	0
TraesCS2A02G346000	chr2A	584510604	584514050	+	3447	4
TraesCS2A02G346100	chr2A	584514589	584518622	-	4034	7
TraesCS2A02G346200	chr2A	584519674	584523138	-	3465	1
TraesCS2A02G346300	chr2A	584575789	584579218	-	3430	0
TraesCS2A02G346400	chr2A	584578113	584582676	+	4564	0
TraesCS2A02G346500	chr2A	585136054	585143934	+	7881	0
TraesCS2A02G346600	chr2A	585155860	585162635	+	6776	2
TraesCS2A02G346700	chr2A	585195455	585197852	+	2398	0
TraesCS2A02G346900	chr2A	585209553	585213433	+	3881	0
TraesCS2A02G347000	chr2A	585211351	585214312	-	2962	0
TraesCS2A02G347200	chr2A	585655077	585660458	-	5382	0
TraesCS2A02G347300	chr2A	585660559	585663727	+	3169	0
TraesCS2A02G347400	chr2A	585739152	585742392	-	3241	0
TraesCS2A02G347600	chr2A	585815484	585826909	-	11426	0
TraesCS2A02G347700	chr2A	585923638	585930634	-	6997	0
TraesCS2A02G347800	chr2A	586444854	586450222	+	5369	0
TraesCS2A02G347900	chr2A	586450222	586458068	+	7847	0
TraesCS2A02G348000	chr2A	586888225	586895799	+	7575	0
TraesCS2A02G348100	chr2A	586895446	586899882	-	4437	9
TraesCS2A02G348200	chr2A	587148235	587151664	+	3430	12
TraesCS2A02G348300	chr2A	587150680	587163420	-	12741	0
TraesCS2A02G348400	chr2A	587271322	587275853	+	4532	0
TraesCS2A02G348500	chr2A	587270322	587276807	-	6486	0
TraesCS2A02G348600	chr2A	587404638	587407468	+	2831	0
TraesCS2A02G348700	chr2A	587441551	587446126	+	4576	0
TraesCS2A02G348800	chr2A	587732579	587738246	+	5668	0
TraesCS2A02G348900	chr2A	587750669	587752057	+	1389	3
TraesCS2A02G349000	chr2A	587751938	587755366	-	3429	0
TraesCS2A02G349100	chr2A	588243524	588245564	-	2041	16
TraesCS2A02G349200	chr2A	588256802	588284231	-	27430	0
TraesCS2A02G349300	chr2A	588377813	588380792	-	2980	0
TraesCS2A02G349400	chr2A	588429584	588440065	-	10482	0
TraesCS2A02G349500	chr2A	588980354	588981752	+	1399	0
TraesCS2A02G349600	chr2A	588999776	589010765	-	10990	8
TraesCS2A02G349700	chr2A	589656071	589659039	+	2969	34
TraesCS2A02G349800	chr2A	589688353	589694527	+	6175	18
TraesCS2A02G349900	chr2A	589691595	589692804	-	1210	0
TraesCS2A02G350000	chr2A	589781698	589788446	+	6749	0
TraesCS2A02G350100	chr2A	589788446	589794308	+	5863	0
TraesCS2A02G350200	chr2A	589794499	589797005	+	2507	0
TraesCS2A02G350300	chr2A	590636737	590640869	+	4133	9
TraesCS2A02G350400	chr2A	590689194	590690457	-	1264	0
TraesCS2A02G350500	chr2A	590718738	590720001	-	1264	0
TraesCS2A02G350600	chr2A	590724618	590726198	-	1581	0
TraesCS2A02G350700	chr2A	590815545	590817869	-	2325	0
TraesCS2A02G350800	chr2A	590964353	590966258	-	1906	0
TraesCS2A02G350900	chr2A	590972910	590974934	-	2025	0
TraesCS2A02G351000	chr2A	590984120	590985630	+	1511	0
TraesCS2A02G351100	chr2A	591090750	591094451	+	3702	0
TraesCS2A02G351200	chr2A	591262062	591266964	+	4903	0
TraesCS2A02G351300	chr2A	591267412	591275566	+	8155	0
TraesCS2A02G351400	chr2A	591277780	591280407	+	2628	0
TraesCS2A02G351500	chr2A	591604683	591606995	+	2313	0
TraesCS2A02G351600	chr2A	591606995	591610294	+	3300	0
TraesCS2A02G351700	chr2A	592090060	592093898	+	3839	0
TraesCS2A02G351800	chr2A	592095206	592096436	-	1231	0
TraesCS2A02G351900	chr2A	592454194	592456454	+	2261	0
TraesCS2A02G352000	chr2A	592689857	592693622	+	3766	0
TraesCS2A02G352100	chr2A	592693445	592698265	-	4821	0
TraesCS2A02G352200	chr2A	592744951	592746307	-	1357	0
TraesCS2A02G352300	chr2A	592778849	592785301	-	6453	0
TraesCS2A02G352400	chr2A	592852144	592857156	+	5013	0
TraesCS2A02G352500	chr2A	593300928	593306322	+	5395	0
TraesCS2A02G352600	chr2A	593307227	593311383	+	4157	26
TraesCS2A02G352700	chr2A	593311383	593314382	+	3000	0
TraesCS2A02G352800	chr2A	593443073	593448001	+	4929	10
TraesCS2A02G352900	chr2A	593486294	593488146	-	1853	0
TraesCS2A02G353000	chr2A	593494957	593503182	+	8226	0
TraesCS2A02G353100	chr2A	593508789	593511196	+	2408	1
TraesCS2A02G353200	chr2A	593648243	593651536	+	3294	1
TraesCS2A02G353300	chr2A	593652153	593659590	-	7438	11
TraesCS2A02G353400	chr2A	593838176	593839977	+	1802	0
TraesCS2A02G353500	chr2A	594113059	594118959	+	5901	5
TraesCS2A02G353600	chr2A	594122721	594124881	-	2161	0
TraesCS2A02G353700	chr2A	594376756	594380234	-	3479	0
TraesCS2A02G353800	chr2A	594435156	594439959	+	4804	0
TraesCS2A02G353900	chr2A	594579959	594582671	+	2713	30
TraesCS2A02G354000	chr2A	594993783	594999075	-	5293	0
TraesCS2A02G354100	chr2A	595020983	595026188	-	5206	0
TraesCS2A02G354200	chr2A	595217870	595220913	+	3044	256
TraesCS2A02G354300	chr2A	595225788	595227239	+	1452	0
TraesCS2A02G354400	chr2A	595226459	595230820	-	4362	0
TraesCS2A02G354500	chr2A	595340154	595345526	-	5373	2
TraesCS2A02G354600	chr2A	595980657	595981974	+	1318	0
TraesCS2A02G354700	chr2A	595979855	595981825	-	1971	0
TraesCS2A02G354800	chr2A	595986432	595988151	+	1720	0
TraesCS2A02G354900	chr2A	597498604	597505238	+	6635	24
TraesCS2A02G355000	chr2A	597505238	597513419	+	8182	0
TraesCS2A02G355100	chr2A	597845187	597848234	+	3048	0
TraesCS2A02G355200	chr2A	597847803	597853309	-	5507	1
TraesCS2A02G355300	chr2A	598152500	598157203	+	4704	0
TraesCS2A02G355400	chr2A	598160186	598162492	-	2307	241
TraesCS2A02G355500	chr2A	598609901	598616710	+	6810	0
TraesCS2A02G355600	chr2A	598614636	598617296	-	2661	59
TraesCS2A02G355700	chr2A	598619283	598623727	-	4445	0
TraesCS2A02G355800	chr2A	598640041	598642773	-	2733	0
TraesCS2A02G355900	chr2A	599160474	599163833	-	3360	0
TraesCS2A02G356000	chr2A	599164851	599168196	-	3346	0
TraesCS2A02G356100	chr2A	600111936	600113229	-	1294	0
TraesCS2A02G356200	chr2A	600527382	600530175	-	2794	0
TraesCS2A02G356300	chr2A	600909533	600917050	-	7518	25
TraesCS2A02G356400	chr2A	601325937	601335246	+	9310	11
TraesCS2A02G356500	chr2A	601335246	601338313	+	3068	19
TraesCS2A02G356600	chr2A	601337689	601342899	-	5211	0
TraesCS2A02G356700	chr2A	601390902	601392682	-	1781	0
TraesCS2A02G356800	chr2A	601481665	601483009	+	1345	0
TraesCS2A02G356900	chr2A	601702707	601711466	+	8760	4
TraesCS2A02G357000	chr2A	601712305	601714946	+	2642	0
TraesCS2A02G357100	chr2A	601717440	601720101	-	2662	0
TraesCS2A02G357200	chr2A	601726728	601729702	+	2975	0
TraesCS2A02G357300	chr2A	601813428	601814691	-	1264	0
TraesCS2A02G357400	chr2A	601846333	601851821	+	5489	0
TraesCS2A02G357500	chr2A	602114469	602119520	+	5052	4
TraesCS2A02G357600	chr2A	602121918	602126256	+	4339	3
TraesCS2A02G357700	chr2A	602127452	602136048	-	8597	10
TraesCS2A02G357800	chr2A	602439030	602444766	+	5737	6
TraesCS2A02G357900	chr2A	602444330	602448443	-	4114	2
TraesCS2A02G358000	chr2A	602448544	602453363	+	4820	8
TraesCS2A02G358100	chr2A	602477382	602482297	+	4916	0
TraesCS2A02G358200	chr2A	602481614	602483176	-	1563	0
TraesCS2A02G358300	chr2A	602486720	602488811	-	2092	0
TraesCS2A02G358400	chr2A	602649886	602653428	-	3543	0
TraesCS2A02G358500	chr2A	602686991	602688847	-	1857	0
TraesCS2A02G358600	chr2A	602716923	602718740	-	1818	0
TraesCS2A02G358700	chr2A	602764980	602766809	-	1830	0
TraesCS2A02G358800	chr2A	602775501	602782659	-	7159	0
TraesCS2A02G358900	chr2A	602797239	602803183	+	5945	18
TraesCS2A02G359000	chr2A	602806054	602812462	-	6409	34
TraesCS2A02G359100	chr2A	603081948	603086193	-	4246	2
TraesCS2A02G359200	chr2A	603368804	603371887	+	3084	0
TraesCS2A02G359300	chr2A	603374752	603377894	+	3143	0
TraesCS2A02G359400	chr2A	603523617	603525613	+	1997	6
TraesCS2A02G359500	chr2A	603545891	603548387	+	2497	0
TraesCS2A02G359600	chr2A	603547668	603550808	-	3141	0
TraesCS2A02G359700	chr2A	603557030	603562199	+	5170	0
TraesCS2A02G359800	chr2A	603561212	603563873	-	2662	0
TraesCS2A02G359900	chr2A	603685802	603688917	-	3116	0
TraesCS2A02G360000	chr2A	603854475	603857096	-	2622	0
TraesCS2A02G360100	chr2A	604493566	604495201	-	1636	0
TraesCS2A02G360200	chr2A	604747338	604750173	-	2836	0
TraesCS2A02G360300	chr2A	604750173	604755234	-	5062	0
TraesCS2A02G360400	chr2A	604857358	604859536	-	2179	0
TraesCS2A02G360500	chr2A	604859536	604865276	-	5741	0
TraesCS2A02G360600	chr2A	605033659	605038359	-	4701	0
TraesCS2A02G360800	chr2A	605114456	605115707	-	1252	0
TraesCS2A02G360900	chr2A	605125841	605128592	-	2752	0
TraesCS2A02G361000	chr2A	605128592	605129740	-	1149	0
TraesCS2A02G361100	chr2A	605163670	605172302	-	8633	0
TraesCS2A02G361200	chr2A	605164521	605167463	-	2943	0
TraesCS2A02G361300	chr2A	605208183	605210227	-	2045	0
TraesCS2A02G361400	chr2A	605310908	605313618	+	2711	0
TraesCS2A02G361500	chr2A	605335239	605337360	-	2122	0
TraesCS2A02G361600	chr2A	605398621	605400017	+	1397	0
TraesCS2A02G361700	chr2A	605400017	605403122	+	3106	0
TraesCS2A02G361800	chr2A	605592205	605594188	+	1984	0
TraesCS2A02G361900	chr2A	605798664	605805384	-	6721	0
TraesCS2A02G362000	chr2A	605914933	605916403	-	1471	0
TraesCS2A02G362100	chr2A	606508463	606527827	-	19365	0
TraesCS2A02G362200	chr2A	606673389	606675908	-	2520	0
TraesCS2A02G362300	chr2A	606675920	606679840	-	3921	0
TraesCS2A02G362400	chr2A	606710012	606712790	-	2779	0
TraesCS2A02G362500	chr2A	606811971	606814768	-	2798	0
TraesCS2A02G362600	chr2A	606820901	606832906	-	12006	2
TraesCS2A02G362700	chr2A	607475995	607481452	+	5458	0
TraesCS2A02G362800	chr2A	607480662	607483729	-	3068	0
TraesCS2A02G362900	chr2A	607483797	607488389	+	4593	0
TraesCS2A02G363000	chr2A	607511599	607514687	+	3089	0
TraesCS2A02G363100	chr2A	607514396	607517465	-	3070	0
TraesCS2A02G363200	chr2A	607517820	607522203	+	4384	0
TraesCS2A02G363300	chr2A	607597019	607601226	+	4208	13
TraesCS2A02G363400	chr2A	607600759	607602449	-	1691	15
TraesCS2A02G363500	chr2A	607820263	607827761	+	7499	4
TraesCS2A02G363600	chr2A	607827761	607830538	+	2778	0
TraesCS2A02G363700	chr2A	607830440	607831722	-	1283	0
TraesCS2A02G363800	chr2A	607840199	607843783	-	3585	6
TraesCS2A02G363900	chr2A	607874093	607876801	-	2709	0
TraesCS2A02G364000	chr2A	607908192	607911525	+	3334	0
TraesCS2A02G364100	chr2A	607994741	608000800	-	6060	20
TraesCS2A02G364200	chr2A	608031557	608036387	-	4831	3
TraesCS2A02G364300	chr2A	608043925	608049130	+	5206	0
TraesCS2A02G364400	chr2A	608250036	608253252	+	3217	0
TraesCS2A02G364500	chr2A	608599687	608609913	+	10227	3
TraesCS2A02G364600	chr2A	608609764	608620112	-	10349	25
TraesCS2A02G364700	chr2A	608631658	608662294	-	30637	0
TraesCS2A02G364800	chr2A	608775010	608776460	+	1451	0
TraesCS2A02G364900	chr2A	608784120	608789150	+	5031	0
TraesCS2A02G365000	chr2A	608871057	608873541	+	2485	0
