CARHR207710	AT5G05550
CARHR198930	AT5G14390
CARHR241800	AT5G26130
CARHR066200	AT1G73190
CARHR004460	AT1G05030
CARHR215800	AT5G37290
CARHR174780	AT5G46720
CARHR156310	AT3G47630
CARHR172800	AT3G62470
CARHR252210	AT4G05380
CARHR009760	AT1G09790
CARHR089750	AT3G14810
CARHR000370	AT1G01980
CARHR213230	AT5G41140
CARHR277380	AT5G63520
CARHR010400	AT1G10300
CARHR231450	AT4G24050
CARHR266540	AT5G53420
CARHR071990	AT1G78490
CARHR191400	AT5G22130
CARHR144360	AT2G01810
CARHR102120	AT2G04280
CARHR183800	AT5G48390
CARHR252170	AT4G05410
CARHR257260	AT5G51000
CARHR133080	AT2G38420
CARHR263660	AT5G38890
CARHR085880	AT3G11330
CARHR021290	AT1G20860
CARHR008580	AT1G08650
CARHR130370	AT2G36130
CARHR053910	AT1G58170
CARHR225960	AT4G19060
CARHR209420	AT5G03840
CARHR197580	AT5G15750
CARHR043420	AT1G53190
CARHR291440	AT3G63530
CARHR043390	AT1G53165
CARHR028620	AT1G29300
CARHR135440	AT2G40360
CARHR142940	AT2G47530
CARHR276380	AT5G62600
CARHR049130	AT1G62710
CARHR228180	AT4G21520
CARHR285700	AT5G59340
CARHR143540	AT2G48150
CARHR032300	AT1G32970
CARHR089280	AT3G14490
CARHR032650	AT1G33280
CARHR196180	AT5G16990
CARHR130460	AT2G36220
CARHR023700	AT1G23260
CARHR290480	AT4G15930
CARHR191120	AT5G22410
CARHR166480	AT3G56330
CARHR041860	AT1G51700
CARHR227940	AT4G21350
CARHR198550	AT5G14760
CARHR188330	AT5G25160
CARHR232690	AT4G25280
CARHR121500	AT2G28500
CARHR087810	AT3G13220
CARHR027010	AT1G27420
CARHR209390	AT5G03870
CARHR011060	AT1G10840
CARHR214170	AT5G38430
CARHR269020	AT5G55700
CARHR252120	AT4G05450
CARHR229140	AT4G22250
CARHR230500	AT4G23250
CARHR043640	AT5G63190
CARHR079730	AT3G05390
CARHR076170	AT3G02200
CARHR015490	AT1G14970
CARHR230050	AT4G22990
CARHR068490	AT1G75160
CARHR250120	AT4G01550
CARHR231900	AT4G24510
CARHR255350	AT4G11230
CARHR290890	AT1G71865
CARHR025700	AT1G26210
CARHR157380	AT3G48590
CARHR136900	AT2G41820
CARHR269500	AT5G56120
CARHR227850	AT4G21270
CARHR188570	AT5G24880
CARHR136450	AT2G41340
CARHR013790	AT1G13440
CARHR003110	AT1G03780
CARHR003440	AT1G04100
CARHR227060	AT1G66020
CARHR284300	AT5G44430
CARHR171570	AT3G61270
CARHR228870	AT4G22070
CARHR178040	AT5G44840
CARHR257840	AT5G50450
CARHR013190	AT1G12860
CARHR019130	AT1G18510
CARHR081720	AT3G07120
CARHR138580	AT2G43490
CARHR236680	AT4G28910
CARHR080590	AT3G06080
CARHR243960	AT4G35620
CARHR254730	AT4G11655
CARHR258110	AT5G50375
CARHR160720	AT3G51120
CARHR075380	AT3G01540
CARHR068270	AT1G74950
CARHR123100	AT2G29740
CARHR254460	AT4G11820
CARHR195630	AT5G17550
CARHR058920	AT1G66780
CARHR272230	AT5G58390
CARHR054240	AT1G57990
CARHR170950	AT3G60550
CARHR174430	AT5G47040
CARHR058290	AT2G45110
CARHR202510	AT5G10790
CARHR275860	AT5G62070
CARHR178600	AT5G44480
CARHR255730	AT4G10890
CARHR246950	AT4G39756
CARHR194830	AT5G18230
CARHR246690	AT4G39990
CARHR210270	AT5G03050
CARHR266320	AT5G53280
CARHR059520	AT1G67070
CARHR274240	AT5G60580
CARHR204050	AT5G09350
CARHR241660	AT4G33560
CARHR111330	AT2G20690
CARHR088150	AT1G59680
CARHR108770	AT2G18240
CARHR088620	AT3G13845
CARHR178940	AT5G44265
CARHR111440	AT2G20770
CARHR244200	AT4G35820
CARHR218320	AT4G13020
CARHR248550	AT4G00450
CARHR245740	AT4G37360
CARHR044610	AT1G54220
CARHR132020	AT2G37580
CARHR215430	AT5G37500
CARHR084860	AT3G10380
CARHR271020	AT5G57230
CARHR090500	AT3G15450
CARHR293490	AT2G17180
CARHR274710	AT5G61000
CARHR096760	AT3G20880
CARHR127210	AT2G33210
CARHR093310	AT3G18000
CARHR270350	AT5G56660
CARHR155100	AT3G46680
CARHR214860	AT5G37910
CARHR140540	AT2G45330
CARHR116870	AT1G64840
CARHR140090	AT2G44840
CARHR041130	AT1G51110
CARHR048770	AT1G63130
CARHR074020	AT1G80500
CARHR222150	AT4G15415
CARHR264560	AT2G26740
CARHR114010	AT2G22730
CARHR269340	AT5G55970
CARHR066840	AT1G73770
CARHR194050	AT5G18940
CARHR183610	AT5G48470
CARHR072500	AT1G78910
CARHR260410	AT4G09530
CARHR019790	AT1G19190
CARHR050360	AT1G74170
CARHR132360	AT2G37230
CARHR088450	AT3G13720
CARHR012670	AT1G12380
CARHR290990	AT1G71790
CARHR007720	AT1G07910
CARHR174920	AT5G51250
CARHR122360	AT2G29080
CARHR081330	AT3G06730
CARHR058430	AT1G66460
CARHR061640	AT1G68810
CARHR223810	AT4G17210
CARHR187280	AT5G26030
CARHR026050	AT3G20370
CARHR061310	AT1G68530
CARHR073900	AT1G80620
CARHR215670	AT5G37400
CARHR129600	AT2G35450
CARHR010810	AT1G10640
CARHR073450	AT1G79680
CARHR111160	AT2G20585
CARHR229500	AT4G22620
CARHR159130	AT3G50060
CARHR162270	AT3G52500
CARHR033210	AT1G33810
CARHR154740	AT3G46280
CARHR060990	AT1G68310
CARHR196050	AT5G17170
CARHR226080	AT4G19191
CARHR291900	AT5G41460
CARHR000970	AT1G01453
CARHR191240	AT5G22310
CARHR022820	AT1G22480
CARHR280170	AT5G67420
CARHR016300	AT1G15790
CARHR211490	AT5G01170
CARHR290980	AT1G71800
CARHR184060	AT5G48230
CARHR100380	AT3G24290
CARHR034970	AT1G36310
CARHR190300	AT5G23240
CARHR163590	AT3G53680
CARHR167730	AT3G57510
CARHR203200	AT5G10090
CARHR199660	AT5G13780
CARHR214060	AT5G38610
CARHR195400	AT5G17770
CARHR039740	AT1G49710
CARHR287540	AT1G55000
CARHR198460	AT5G14890
CARHR110310	AT2G19870
CARHR277150	AT5G63290
CARHR105110	AT2G13100
CARHR161670	AT3G52040
CARHR165590	AT3G55530
CARHR279520	AT5G65540
CARHR282990	AT2G07721
CARHR161890	AT3G52150
CARHR142090	AT2G46720
CARHR245910	AT4G37510
CARHR283270	ATMG01020
CARHR047420	AT1G63770
CARHR266670	AT5G53530
CARHR138120	AT2G43050
CARHR245640	AT4G37250
CARHR166020	AT3G55940
CARHR257220	AT5G50970
CARHR213750	AT5G40770
CARHR217230	AT5G35160
CARHR162010	AT3G52250
CARHR207580	AT5G05700
CARHR141940	AT2G46590
CARHR050580	AT1G61760
CARHR123610	AT2G30290
CARHR215370	AT4G19580
CARHR280280	AT5G67330
CARHR279000	AT5G65090
CARHR263030	AT5G39360
CARHR002230	AT2G44750
CARHR100070	AT3G24130
CARHR284980	AT5G42350
CARHR075880	AT3G01170
CARHR184390	AT5G47850
CARHR040510	AT5G03250
CARHR044870	AT1G55210
CARHR173450	AT3G63130
CARHR234980	AT4G27330
CARHR173320	AT3G63030
CARHR261560	AT5G40460
CARHR209770	AT5G03555
CARHR148930	AT3G27550
CARHR140110	AT2G44850
CARHR208600	AT5G04690
CARHR212910	AT5G41410
CARHR047390	AT1G63810
CARHR119060	AT2G26900
CARHR085500	AT3G10920
CARHR139150	AT2G43980
CARHR037770	AT1G48130
CARHR098700	AT3G22840
CARHR037950	AT1G48330
CARHR099610	AT2G43745
CARHR208290	AT5G04970
CARHR209560	AT5G03740
CARHR219080	AT4G13440
CARHR084670	AT3G10190
CARHR250790	AT4G02485
CARHR063640	AT1G70480
CARHR030740	AT1G31260
CARHR113750	AT2G22560
CARHR101540	AT3G25190
CARHR113200	AT2G22070
CARHR239150	AT4G31270
CARHR124590	AT2G31060
CARHR220110	AT1G35290
CARHR225280	AT4G18450
CARHR020280	AT1G19770
CARHR270980	AT5G57190
CARHR097820	AT3G21865
CARHR233410	AT4G25920
CARHR135830	AT2G40740
CARHR065760	AT5G05260
CARHR027830	AT1G28340
CARHR039350	AT5G25910
CARHR140310	AT2G45060
CARHR083270	AT3G08940
CARHR083900	AT3G09500
CARHR061860	AT1G68980
CARHR046660	AT1G64300
CARHR131100	AT2G36740
CARHR029750	AT1G30360
CARHR267270	AT5G54080
CARHR211700	AT5G01340
CARHR195770	AT5G17440
CARHR013230	AT1G12900
CARHR070100	AT1G76550
CARHR275440	AT5G61640
CARHR069640	AT1G76100
CARHR274190	AT5G60530
CARHR272630	AT5G58720
CARHR099780	AT3G23800
CARHR060190	AT1G67620
CARHR133160	AT2G38470
CARHR018210	AT1G17610
CARHR169840	AT3G59440
CARHR094040	AT3G18660
CARHR014950	AT1G14500
CARHR221500	AT4G14910
CARHR121280	AT2G28350
CARHR027510	AT1G28060
CARHR014220	AT1G13830
CARHR108970	AT2G18380
CARHR043090	AT1G52870
CARHR163630	AT3G53730
CARHR005610	AT1G06090
CARHR201270	AT5G11890
CARHR051980	AT1G60950
CARHR190620	AT5G22910
CARHR025880	AT1G25570
CARHR272490	AT5G58630
CARHR129700	AT2G35530
CARHR206980	AT5G06265
CARHR092740	AT3G17420
CARHR001760	AT1G02430
CARHR137880	AT2G42800
CARHR009510	AT1G09540
CARHR124540	AT2G31010
CARHR029130	AT1G29760
CARHR164940	AT3G54960
CARHR172320	AT3G61960
CARHR176660	AT5G45410
CARHR172490	AT3G62150
CARHR120100	AT4G19630
CARHR229460	AT4G22570
CARHR003940	AT1G04590
CARHR189730	AT5G23770
CARHR121980	AT2G28830
CARHR217090	AT5G32470
CARHR183330	AT5G48630
CARHR052980	AT1G60000
CARHR056600	AT2G44870
CARHR020660	AT1G20150
CARHR053050	AT1G59980
CARHR098110	AT3G22220
CARHR145440	AT2G03090
CARHR166960	AT3G56810
CARHR171360	AT3G61050
CARHR175860	AT5G46070
CARHR253330	AT4G04190
CARHR005470	AT1G05910
CARHR098440	AT3G22550
CARHR189490	AT5G24100
CARHR276710	AT5G62900
CARHR074440	AT1G80040
CARHR276240	AT5G62440
CARHR112400	AT2G21480
CARHR275790	AT5G61990
CARHR193320	AT5G19580
CARHR072880	AT2G21820
CARHR062590	AT1G69650
CARHR230190	AT4G23120
CARHR112150	AT2G21280
CARHR068060	AT1G74750
CARHR272000	AT5G58200
CARHR026610	AT1G24510
CARHR232560	AT4G25170
CARHR262070	AT5G40030
CARHR145360	AT2G02960
CARHR251720	AT4G03270
CARHR060730	AT1G68070
CARHR096220	AT3G20470
CARHR279660	AT5G65687
CARHR238630	AT4G30790
CARHR172140	AT3G61810
CARHR052180	AT1G61040
CARHR032530	AT1G33230
CARHR024280	AT1G23880
CARHR091250	AT3G16090
CARHR028080	AT1G28580
CARHR023060	AT1G22690
CARHR215760	AT5G37320
CARHR025350	AT1G26620
CARHR157670	AT3G48860
CARHR088810	AT3G14000
CARHR287100	AT3G12350
CARHR167130	AT3G56980
CARHR053270	AT1G59820
CARHR112250	AT2G21370
CARHR088360	AT3G13662
CARHR148210	AT3G27020
CARHR130480	AT2G36240
CARHR126530	AT5G27310
CARHR072080	AT1G78590
CARHR022620	AT1G22250
CARHR148130	AT3G26950
CARHR137260	AT2G42220
CARHR256070	AT4G10520
CARHR142550	AT2G47160
CARHR270530	AT5G56780
CARHR141770	AT2G46470
CARHR220670	AT4G14455
CARHR224950	AT4G18195
CARHR164360	AT3G54460
CARHR015570	AT1G15030
CARHR026530	AT1G24560
CARHR187870	AT5G25520
CARHR168460	AT3G58110
CARHR042270	AT1G52140
CARHR024750	AT1G27120
CARHR186890	AT5G26660
CARHR172550	AT3G62210
CARHR126240	AT2G32415
CARHR231020	AT4G23650
CARHR093740	AT3G18390
CARHR191870	AT5G20970
CARHR000490	AT1G01840
CARHR185690	AT5G27980
CARHR153340	AT3G30300
CARHR205550	AT5G07610
CARHR176250	AT5G45720
CARHR023390	AT1G23010
CARHR028660	AT1G29330
CARHR071760	AT1G78290
CARHR008170	AT1G08310
CARHR294430	AT4G38730
CARHR072260	AT1G78720
CARHR187890	AT5G25510
CARHR141300	AT2G46040
CARHR250820	AT2G02930
CARHR007110	AT1G07390
CARHR076230	AT3G02260
CARHR036230	AT1G45145
CARHR240680	AT4G32700
CARHR170090	AT3G59740
CARHR054580	AT1G57630
CARHR004700	AT1G05230
CARHR109730	AT2G19270
CARHR208770	AT5G04500
CARHR248400	AT4G00310
CARHR215140	AT5G37690
CARHR225710	AT4G18840
CARHR147450	AT3G26430
CARHR291480	AT3G63490
CARHR236120	AT4G28380
CARHR160190	AT3G50690
CARHR261520	AT5G40470
CARHR277990	AT5G64080
CARHR000140	AT1G02180
CARHR251660	AT4G03210
CARHR210040	AT5G03300
CARHR103400	AT2G26230
CARHR008390	AT1G08500
CARHR280900	AT5G66800
CARHR084830	AT3G10350
CARHR204290	AT5G08720
CARHR194330	AT5G18670
CARHR171140	AT3G60750
CARHR145060	AT2G02500
CARHR045130	AT1G55460
CARHR080110	AT3G05670
CARHR248420	AT4G00335
CARHR099310	AT3G23340
CARHR190830	AT5G22760
CARHR211640	AT5G01290
CARHR097680	AT3G21740
CARHR170230	AT3G59900
CARHR110120	AT2G19670
CARHR054720	AT1G57600
CARHR087380	AT3G12860
CARHR265570	AT5G52570
CARHR081750	AT3G07150
CARHR086060	AT3G11510
CARHR039910	AT1G49860
CARHR282060	ATCG00440
CARHR143200	AT3G45460
CARHR223370	AT4G16770
CARHR074590	AT1G79900
CARHR025390	AT1G26580
CARHR161460	AT3G51830
CARHR282440	ATCG01070
CARHR123570	AT2G30250
CARHR168180	AT3G57870
CARHR226510	AT4G19690
CARHR012560	AT1G12250
CARHR249540	AT4G02100
CARHR074900	AT3G19340
CARHR245520	AT4G36980
CARHR230270	AT4G23180
CARHR181720	AT5G42760
CARHR048180	AT1G63240
CARHR097310	AT3G21360
CARHR027220	AT1G27720
CARHR135010	AT2G40070
CARHR232220	AT4G24820
CARHR204930	AT5G08240
CARHR236270	AT4G28490
CARHR278710	AT5G64720
CARHR233170	AT4G25720
CARHR090330	AT3G16530
CARHR153940	AT3G29250
CARHR020700	AT1G20200
CARHR044400	AT1G54070
CARHR098590	AT3G22740
CARHR268320	AT5G54980
CARHR166630	AT3G56510
CARHR036490	AT1G78460
CARHR117860	AT2G24255
CARHR228240	AT4G21560
CARHR122810	AT2G29490
CARHR025570	AT1G26360
CARHR001960	AT1G02680
CARHR155730	AT3G47100
CARHR277830	AT5G63910
CARHR073020	AT1G79360
CARHR188720	AT5G24780
CARHR208160	AT5G05110
CARHR067850	AT1G74580
CARHR241090	AT4G33070
CARHR080740	AT3G06230
CARHR134710	AT2G39820
CARHR168170	AT3G57860
CARHR080210	AT3G05740
CARHR183480	AT2G05850
CARHR222830	AT4G16447
CARHR209860	AT5G03470
CARHR228340	AT4G21620
CARHR008820	AT2G31580
CARHR269780	AT5G56340
CARHR082520	AT3G07810
CARHR139260	AT2G44100
CARHR270950	AT5G57160
CARHR232590	AT4G25190
CARHR093340	AT3G18030
CARHR197820	AT5G15490
CARHR093710	AT3G18360
CARHR016170	AT1G15670
CARHR019300	AT1G18670
CARHR236500	AT4G28710
CARHR135130	AT2G40120
CARHR017550	AT1G17020
CARHR237320	AT4G29490
CARHR017220	AT1G16760
CARHR135640	AT2G40530
CARHR129130	AT2G34970
CARHR223590	AT4G17030
CARHR290190	AT4G15740
CARHR161280	AT3G51680
CARHR268330	AT5G54990
CARHR277720	AT5G63810
CARHR233910	AT4G26330
CARHR006390	AT1G06710
CARHR131730	AT2G37820
CARHR006460	AT1G06770
CARHR202890	AT5G10410
CARHR259700	AT4G23990
CARHR085190	AT3G10610
CARHR087360	AT3G12830
CARHR157150	AT3G48380
CARHR230830	AT4G23496
CARHR214710	AT5G38040
CARHR226810	AT4G20020
CARHR133990	AT2G39250
CARHR222350	AT4G15545
CARHR192890	AT5G19960
CARHR222420	AT4G16130
CARHR069810	AT1G76250
CARHR060850	AT1G68170
CARHR127910	AT2G33800
CARHR247410	AT4G39280
CARHR236890	AT4G29160
CARHR192740	AT5G20090
CARHR186300	AT5G27820
CARHR050770	AT1G61610
CARHR087060	AT3G12560
CARHR244430	AT4G36030
CARHR079540	AT3G05200
CARHR203630	AT5G09770
CARHR108120	AT2G17750
CARHR248560	AT4G00460
CARHR211020	AT5G02390
CARHR040720	AT1G50670
CARHR251220	AT4G02850
CARHR248940	AT4G00755
CARHR020530	AT1G20060
CARHR196880	AT5G16380
CARHR065370	AT1G72440
CARHR190450	AT5G23080
CARHR125740	AT2G31990
CARHR047980	AT1G63070
CARHR242100	AT4G33970
CARHR199000	AT5G14330
CARHR275290	AT5G61520
CARHR271750	AT5G57970
CARHR272820	AT5G58880
CARHR238140	AT4G30230
CARHR181260	AT5G42880
CARHR246340	AT4G37925
CARHR038740	AT1G48770
CARHR233010	AT4G25590
CARHR074270	AT1G80210
CARHR016790	AT1G16320
CARHR130520	AT2G36250
CARHR148370	AT3G27170
CARHR141310	AT2G46060
CARHR185070	AT5G28180
CARHR118580	AT2G26680
CARHR084060	AT3G09650
CARHR030240	AT1G30760
CARHR116220	AT2G25300
CARHR012080	AT1G11760
CARHR124920	AT2G31305
CARHR128240	AT2G34150
CARHR275370	AT5G61580
CARHR268430	AT5G55090
CARHR124290	AT2G30820
CARHR267780	AT5G54500
CARHR055540	AT1G54440
CARHR031110	AT1G31810
CARHR208830	AT5G04430
CARHR130780	AT2G36480
CARHR267960	AT5G54650
CARHR070590	AT1G77110
CARHR026840	AT1G24265
CARHR172790	AT3G62450
CARHR010790	AT1G10620
CARHR270420	AT5G56690
CARHR080960	AT3G06430
CARHR134510	AT2G39670
CARHR064680	AT1G71870
CARHR162480	AT3G52660
CARHR217390	AT5G35370
CARHR006600	AT1G06923
CARHR221680	AT4G14990
CARHR176280	AT5G45690
CARHR280340	AT5G67280
CARHR000700	AT1G01650
CARHR038290	AT1G48640
CARHR268700	AT5G55360
CARHR002390	AT1G03050
CARHR138610	AT2G43510
CARHR243850	AT4G35520
CARHR191050	AT5G22480
CARHR118630	AT5G51200
CARHR163020	AT3G53250
CARHR012330	AT1G12000
CARHR195210	AT5G17910
CARHR184720	AT2G24020
CARHR221330	AT4G14780
CARHR132640	AT2G38060
CARHR160990	AT3G51390
CARHR065480	AT1G72540
CARHR009270	AT1G09300
CARHR167050	AT3G56900
CARHR198850	AT5G14460
CARHR167500	AT3G57300
CARHR164550	AT3G54640
CARHR168670	AT3G58310
CARHR070370	AT1G76860
CARHR009160	AT1G09200
CARHR188930	AT5G24490
CARHR220060	AT4G14070
CARHR064350	AT1G71060
CARHR179550	AT5G43880
CARHR064420	AT1G71130
CARHR168850	AT3G58460
CARHR256880	AT5G51170
CARHR144680	AT2G02050
CARHR245100	AT4G36750
CARHR010240	AT1G10140
CARHR193900	AT5G19090
CARHR024560	AT1G24180
CARHR246730	AT4G39955
CARHR028410	AT1G29100
CARHR217170	AT5G35100
CARHR189040	AT5G24380
CARHR218340	AT4G10320
CARHR121530	AT2G28520
CARHR273660	AT5G60040
CARHR268920	AT5G55610
CARHR012620	AT1G12320
CARHR221190	AT4G14720
CARHR121150	AT2G28230
CARHR018680	AT1G18090
CARHR199120	AT5G14220
CARHR289730	AT5G42567
CARHR271290	AT5G57510
CARHR163280	AT3G53390
CARHR005280	AT1G05770
CARHR198950	AT5G14370
CARHR173150	AT3G62890
CARHR035140	AT1G42540
CARHR142030	AT2G46680
CARHR205070	AT5G08120
CARHR164770	AT3G54826
CARHR215820	AT5G37260
CARHR109940	AT2G19500
CARHR009700	AT1G09730
CARHR176500	AT5G45520
CARHR032490	AT1G33140
CARHR089770	AT3G14830
CARHR056010	AT1G54830
CARHR081080	AT3G06530
CARHR143780	AT2G01250
CARHR147200	AT3G26160
CARHR280750	AT5G66930
CARHR266560	AT5G53440
CARHR006620	AT1G06950
CARHR174290	AT5G47100
CARHR102140	AT2G04300
CARHR264060	AT5G51300
CARHR113940	AT2G22680
CARHR191460	AT5G22070
CARHR279140	AT5G65210
CARHR253540	AT4G12620
CARHR200930	AT5G12190
CARHR244730	AT4G36400
CARHR239360	AT4G31470
CARHR209400	AT5G03860
CARHR082130	AT3G07480
CARHR087600	AT3G13040
CARHR284470	AT1G54960
CARHR092200	AT3G16920
CARHR240470	AT4G29250
CARHR057490	AT1G65690
CARHR225940	AT4G19040
CARHR271740	AT5G57960
CARHR142780	AT2G47390
CARHR206790	AT5G06090
CARHR039160	AT1G49160
CARHR166730	AT3G56620
CARHR108690	AT2G18170
CARHR189670	AT5G23890
CARHR279430	AT5G65450
CARHR112090	AT2G21220
CARHR142960	AT2G47550
CARHR083040	AT3G08740
CARHR132910	AT5G37070
CARHR198100	AT5G15210
CARHR201220	AT5G11930
CARHR235460	AT4G27740
CARHR046320	AT1G64600
CARHR241010	AT4G33000
CARHR089800	AT3G14860
CARHR229450	AT4G22560
CARHR098640	AT3G22800
CARHR131930	AT2G37650
CARHR032670	AT1G33290
CARHR089550	AT3G14590
CARHR169100	AT3G58720
CARHR107530	AT2G17370
CARHR255180	AT4G11400
CARHR023720	AT1G23280
CARHR249220	AT4G01070
CARHR023230	AT1G22880
CARHR018020	AT1G17430
CARHR011040	AT1G10820
CARHR121520	AT2G28510
CARHR193300	AT5G19600
CARHR041800	AT1G51640
CARHR252250	AT4G05320
CARHR138870	AT2G43680
CARHR245760	AT4G37380
CARHR005860	AT1G06280
CARHR274490	AT5G60810
CARHR027030	AT1G27435
CARHR286520	AT5G48240
CARHR186640	AT5G26930
CARHR043660	AT1G53430
CARHR079750	AT3G05410
CARHR068470	AT1G75140
CARHR250100	AT4G01575
CARHR001150	AT1G01300
CARHR250450	AT4G02230
CARHR199450	AT5G13950
CARHR220240	AT5G40680
CARHR164080	AT3G54180
CARHR228220	AT4G21550
CARHR015960	AT1G15410
CARHR067620	AT1G74360
CARHR067190	AT1G74045
CARHR192400	AT5G20400
CARHR139340	AT2G44180
CARHR235200	AT4G27520
CARHR227730	AT4G21150
CARHR291080	AT1G71710
CARHR246900	AT4G39800
CARHR144260	AT2G01690
CARHR059720	AT1G67250
CARHR255070	AT4G11470
CARHR059890	AT1G67350
CARHR289690	AT3G30383
CARHR242360	AT4G34410
CARHR171550	AT3G61250
CARHR242970	AT4G34660
CARHR003420	AT1G04080
CARHR011300	AT4G09300
CARHR038980	AT1G48970
CARHR228810	AT4G22000
CARHR053640	AT1G58280
CARHR232960	AT4G25540
CARHR284900	AT5G42300
CARHR197100	AT5G16210
CARHR085110	AT3G10572
CARHR146910	AT3G25920
CARHR269520	AT5G56150
CARHR031800	AT1G32380
CARHR054910	AT1G56600
CARHR110800	AT2G20310
CARHR068210	AT1G74890
CARHR203910	AT5G09470
CARHR170930	AT3G60530
CARHR046630	AT1G64330
CARHR106910	AT2G16700
CARHR247650	AT4G39100
CARHR255630	AT4G10970
CARHR269060	AT5G55740
CARHR140290	AT2G45040
CARHR194810	AT5G18250
CARHR251410	AT4G03020
CARHR182620	AT5G49120
CARHR103360	AT2G05760
CARHR194430	AT5G18590
CARHR019520	AT1G18870
CARHR048570	AT1G63050
CARHR244220	AT4G35850
CARHR111310	AT2G20670
CARHR094320	AT3G18870
CARHR204030	AT5G09380
CARHR200790	AT5G12320
CARHR270500	AT5G56750
CARHR181650	AT5G42740
CARHR072690	AT1G79020
CARHR265270	AT5G52290
CARHR104840	AT2G13540
CARHR090520	AT3G15470
CARHR211250	AT5G02110
CARHR084800	AT3G10320
CARHR012530	AT1G12230
CARHR293770	AT5G65000
CARHR044670	AT1G55080
CARHR277890	AT5G63970
CARHR180720	AT5G43180
CARHR106620	AT2G16380
CARHR096270	AT3G20510
CARHR243510	AT4G35190
CARHR191660	AT5G21430
CARHR156070	AT3G47430
CARHR231920	AT4G24520
CARHR073610	AT1G80860
CARHR042130	AT1G51965
CARHR025760	AT1G26150
CARHR154650	AT3G46210
CARHR120050	AT2G26530
CARHR097430	AT3G21490
CARHR048790	AT2G06500
CARHR033180	AT1G33780
CARHR264540	AT5G51700
CARHR021860	AT1G21500
CARHR082950	AT3G08650
CARHR074040	AT1G80520
CARHR153150	AT3G29670
CARHR078930	AT3G04700
CARHR081620	AT3G07030
CARHR183630	AT5G48450
CARHR271370	AT5G57610
CARHR016540	AT1G16030
CARHR016090	AT1G15530
CARHR007700	AT1G07890
CARHR132340	AT2G37250
CARHR072520	AT1G78920
CARHR248680	AT4G00525
CARHR262690	AT5G39600
CARHR167800	AT3G57570
CARHR234450	AT4G26830
CARHR012650	AT1G12360
CARHR266310	AT5G53270
CARHR061660	AT1G68820
CARHR081350	AT3G06740
CARHR026070	AT1G25420
CARHR161070	AT3G51490
CARHR289790	AT1G56240
CARHR073920	AT1G80600
CARHR165020	AT3G55010
CARHR155380	AT3G46450
CARHR268540	AT5G55180
CARHR180850	AT5G43130
CARHR067990	AT1G74700
CARHR188600	AT5G24850
CARHR166590	AT3G56470
CARHR232780	AT4G25370
CARHR154470	AT3G46130
CARHR162250	AT3G52480
CARHR192080	AT5G20730
CARHR019840	AT1G19240
CARHR019510	AT1G18860
CARHR016890	AT1G16420
CARHR243190	AT4G34920
CARHR098360	AT3G22450
CARHR130870	AT2G36580
CARHR195750	AT5G17460
CARHR034950	AT1G36240
CARHR044090	AT1G53800
CARHR184000	AT5G48290
CARHR162910	AT3G53020
CARHR281500	AT5G66230
CARHR206340	AT5G06830
CARHR039760	AT1G49720
CARHR109440	AT2G18876
CARHR271100	AT5G57300
CARHR246870	AT4G39830
CARHR180760	AT5G43150
CARHR110370	AT2G19930
CARHR127490	AT2G33480
CARHR223120	AT4G16620
CARHR193680	AT5G19290
CARHR025180	AT1G26761
CARHR061590	AT1G68765
CARHR103800	AT2G06210
CARHR209280	AT5G04000
CARHR245930	AT4G37540
CARHR146650	AT3G25730
CARHR193170	AT5G19730
CARHR216700	AT5G35930
CARHR047400	AT1G63800
CARHR178770	AT5G44360
CARHR123380	AT2G30080
CARHR085290	AT3G10710
CARHR033450	AT1G34060
CARHR178800	AT5G44340
CARHR269000	AT5G55680
CARHR111620	AT2G20875
CARHR140520	AT2G45320
CARHR252190	AT4G05390
CARHR207560	AT5G05710
CARHR166040	AT3G55960
CARHR206610	AT5G06590
CARHR030180	AT1G30720
CARHR229120	AT4G22220
CARHR218700	AT4G13220
CARHR141920	AT2G46570
CARHR129640	AT2G35490
CARHR141690	AT2G46410
CARHR044890	AT1G55240
CARHR121890	AT2G28760
CARHR075310	AT3G01610
CARHR104660	AT2G14045
CARHR040570	AT1G50575
CARHR081970	AT3G07320
CARHR135580	AT2G40470
CARHR247280	AT4G39460
CARHR186000	AT5G27400
CARHR195680	AT5G17510
CARHR141430	AT2G46150
CARHR199140	AT5G14200
CARHR101310	AT3G25030
CARHR173300	AT3G63010
CARHR051340	AT1G61260
CARHR006070	AT1G06460
CARHR105820	AT2G15530
CARHR212280	AT5G01930
CARHR244900	AT4G36600
CARHR105390	AT2G14900
CARHR221290	AT4G14760
CARHR037970	AT1G48360
CARHR119040	AT2G26890
CARHR037200	AT1G47570
CARHR199440	AT5G13960
CARHR081370	AT3G06750
CARHR159580	AT3G50220
CARHR156230	AT4G34135
CARHR154380	AT3G46020
CARHR133830	AT2G39060
CARHR033980	AT1G34750
CARHR037750	AT1G48110
CARHR069480	AT1G75930
CARHR030980	AT1G31460
CARHR141070	AT2G45800
CARHR138260	AT2G43200
CARHR149240	AT3G27810
CARHR118930	AT2G26770
CARHR148520	AT3G27260
CARHR128050	AT2G33980
CARHR121090	AT2G28200
CARHR128720	AT2G34620
CARHR063620	AT1G70460
CARHR030760	AT1G31300
CARHR233430	AT4G25930
CARHR228380	AT4G21660
CARHR027580	AT1G28110
CARHR027850	AT1G28360
