AT1G06190	CARHR005720
AT5G26040	CARHR187290
AT5G13110	CARHR200360
AT1G27930	CARHR027360
AT3G51325	CARHR160910
AT3G18580	CARHR093940
AT1G65730	CARHR057590
AT3G06250	CARHR080750
AT5G42120	CARHR194620
AT5G08750	CARHR204250
AT5G45120	CARHR177450
AT5G58940	CARHR272880
AT1G35190	CARHR287270
AT5G52170	CARHR265090
AT3G52840	CARHR162710
AT3G59810	CARHR170150
AT5G37590	CARHR215300
AT5G43840	CARHR179600
AT5G04930	CARHR208330
AT1G33990	CARHR033370
AT3G13800	CARHR088570
AT3G17380	CARHR092700
AT1G68700	CARHR061510
AT4G25750	CARHR233200
AT5G03790	CARHR209500
AT2G25355	CARHR059710
AT5G03795	CARHR209470
AT2G28270	CARHR121190
AT3G11400	CARHR085940
AT3G01500	CARHR075450
AT5G40710	CARHR213800
AT2G41560	CARHR136690
AT3G21360	CARHR097310
AT5G59810	CARHR273390
AT1G74120	CARHR067280
AT4G35110	CARHR243390
AT1G20070	CARHR020550
AT5G22290	CARHR191270
AT5G42450	CARHR181940
AT3G18630	CARHR094010
AT5G38610	CARHR214060
AT3G09320	CARHR083680
AT3G60860	CARHR171250
AT1G79330	CARHR072980
AT3G12600	CARHR087110
AT3G49710	CARHR158780
AT5G04510	CARHR208760
AT5G37370	CARHR215720
AT5G48630	CARHR183330
AT4G35370	CARHR243680
AT4G19450	CARHR226240
AT1G60810	CARHR051820
AT3G26020	CARHR147010
AT4G01610	CARHR250060
AT3G61890	CARHR172240
AT3G17120	CARHR092370
AT3G17650	CARHR092980
AT2G25930	CARHR286480
AT2G22180	CARHR113340
AT4G20770	CARHR227310
AT2G31490	CARHR125130
AT2G31320	CARHR124940
AT2G44840	CARHR140090
AT3G57860	CARHR168170
AT5G18390	CARHR194640
AT3G61540	CARHR171860
AT5G18640	CARHR194390
AT3G02310	CARHR076290
AT4G34890	CARHR243170
AT5G01110	CARHR211430
AT3G44590	CARHR151590
AT5G03420	CARHR209920
AT5G51970	CARHR264910
AT1G14320	CARHR014750
AT5G64000	CARHR277920
AT2G27600	CARHR120220
AT1G54540	CARHR055630
AT5G14760	CARHR198550
AT4G28610	CARHR236400
AT3G01150	CARHR075900
AT1G73860	CARHR066960
AT5G36230	CARHR216500
AT3G16380	CARHR091600
AT1G52660	CARHR042780
AT2G33430	CARHR127440
AT3G20040	CARHR095570
AT3G48100	CARHR156830
AT5G54370	CARHR267630
AT2G33435	CARHR127450
AT3G51140	CARHR160740
AT5G23740	CARHR189790
AT1G05630	CARHR005130
AT4G39110	CARHR247640
AT1G67140	CARHR059600
AT5G54250	CARHR267530
AT2G45430	CARHR140620
AT5G40410	CARHR261600
AT2G39370	CARHR134220
AT1G15980	CARHR016480
AT5G47550	CARHR173800
AT3G07050	CARHR081630
AT2G28490	CARHR121490
AT5G18020	CARHR195040
AT5G11510	CARHR201710
AT1G59990	CARHR052990
AT3G54640	CARHR164550
AT3G44370	CARHR104500
AT5G36970	CARHR216120
AT4G32330	CARHR240230
AT2G42600	CARHR137740
AT4G02460	CARHR250730
AT5G59530	CARHR273000
AT2G31140	CARHR124740
AT1G04940	CARHR004340
AT5G22430	CARHR191100
AT3G55640	CARHR165700
AT3G55646	CARHR165710
AT3G20470	CARHR096220
AT2G24000	CARHR184700
AT3G21640	CARHR161760
AT1G04230	CARHR003560
AT4G36530	CARHR244840
AT5G66400	CARHR281320
AT4G24080	CARHR231480
AT5G59900	CARHR273510
AT1G22510	CARHR022860
AT5G37890	CARHR214830
AT4G35320	CARHR243650
AT5G28680	CARHR185290
AT1G33040	CARHR032360
AT4G37130	CARHR245380
AT2G14750	CARHR286460
AT1G68380	CARHR061130
AT3G18960	CARHR094380
AT1G08980	CARHR008880
AT2G45460	CARHR140650
AT5G23520	CARHR190020
AT1G05600	CARHR005100
AT4G40050	CARHR246600
AT5G49480	CARHR182020
AT3G28700	CARHR286600
AT2G44510	CARHR139690
AT5G25340	CARHR188060
AT1G16825	CARHR017290
AT4G31440	CARHR239320
AT2G15230	CARHR105620
AT1G32640	CARHR032070
AT4G00870	CARHR249460
AT1G25425	CARHR026030
AT5G65560	CARHR279540
AT5G24550	CARHR139640
AT1G25422	CARHR026040
AT1G25420	CARHR026070
AT1G14580	CARHR015080
AT1G14850	CARHR015390
AT5G46230	CARHR175560
AT5G46720	CARHR174780
AT4G36790	CARHR245150
AT3G19210	CARHR094620
AT1G04510	CARHR003850
AT3G12860	CARHR087380
AT1G55570	CARHR045270
AT4G20910	CARHR227470
AT4G06634	CARHR260070
AT4G23360	CARHR230700
AT2G40160	CARHR135190
AT2G41730	CARHR025870
AT5G42030	CARHR212530
AT1G68650	CARHR061460
AT1G66140	CARHR058110
AT1G26470	CARHR025490
AT5G45550	CARHR176470
AT1G08180	CARHR008010
AT5G20910	CARHR191940
AT4G17616	CARHR224340
AT4G11950	CARHR254340
AT1G13670	CARHR014070
AT5G58140	CARHR271950
AT3G51460	CARHR161040
AT5G05790	CARHR207470
AT5G56960	CARHR270700
AT1G05540	CARHR005020
AT1G48020	CARHR037660
AT3G59300	CARHR169680
AT1G49770	CARHR039820
AT5G56530	CARHR270180
AT3G18430	CARHR093790
AT1G12980	CARHR013320
AT3G23430	CARHR099390
AT1G05010	CARHR004440
AT4G00700	CARHR248820
AT1G65680	CARHR140340
AT5G48850	CARHR182870
AT5G52300	CARHR265280
AT5G41100	CARHR213270
AT5G54230	CARHR267490
AT1G09160	CARHR009090
AT5G02940	CARHR210350
AT2G37420	CARHR132170
AT5G14940	CARHR198370
AT3G27325	CARHR040910
AT4G18460	CARHR225300
AT3G03190	CARHR077210
AT3G10220	CARHR084710
AT4G08690	CARHR259660
AT2G19090	CARHR109610
AT5G61130	CARHR274820
AT5G27600	CARHR186130
AT4G15470	CARHR222220
AT2G35490	CARHR129640
AT1G13580	CARHR013910
AT5G01030	CARHR211360
AT1G27480	CARHR027100
AT1G48970	CARHR038980
AT1G76500	CARHR070050
AT5G17910	CARHR195210
AT1G48790	CARHR038760
AT5G25390	CARHR188100
AT4G15475	CARHR222240
AT3G11520	CARHR086070
AT5G52620	CARHR265610
AT3G53390	CARHR163280
AT1G04540	CARHR003880
AT5G56610	CARHR270300
AT1G29930	CARHR029510
AT1G49510	CARHR039530
AT4G34120	CARHR242240
AT2G22230	CARHR113420
AT3G46940	CARHR155580
AT1G55390	CARHR045050
AT1G59830	CARHR053260
AT5G60850	CARHR274530
AT4G17300	CARHR223920
AT2G22720	CARHR114000
AT3G03990	CARHR078130
AT1G03890	CARHR003210
AT4G33170	CARHR241200
AT2G19540	CARHR109970
AT1G76090	CARHR069630
AT4G23940	CARHR231350
AT1G54150	CARHR044500
AT5G57120	CARHR270890
AT1G27150	CARHR024720
AT3G18030	CARHR093340
AT3G19670	CARHR095130
AT3G50980	CARHR160550
AT5G61670	CARHR275470
AT3G18035	CARHR093350
AT4G22540	CARHR229430
AT2G46915	CARHR142270
AT2G34720	CARHR128880
AT2G46910	CARHR142260
AT1G69523	CARHR062460
AT1G69520	CARHR062450
AT3G04610	CARHR078820
AT1G69526	CARHR062480
AT3G04340	CARHR078520
AT1G67540	CARHR060110
AT5G67130	CARHR280520
AT5G64110	CARHR278020
AT3G01040	CARHR076030
AT5G56660	CARHR270350
AT5G48545	CARHR183470
AT4G26620	CARHR234200
AT3G49410	CARHR158380
AT1G29680	CARHR029010
AT3G57920	CARHR168220
AT3G05560	CARHR079960
AT5G18590	CARHR194430
AT1G11630	CARHR011930
AT3G57260	CARHR046600
AT5G48890	CARHR182830
AT1G03090	CARHR002440
AT5G13340	CARHR200100
AT4G33010	CARHR241020
AT5G53150	CARHR266220
AT1G76890	CARHR070400
AT5G55540	CARHR268860
AT4G21930	CARHR228730
AT3G06260	CARHR080770
AT5G35525	CARHR015410
AT1G75410	CARHR068790
AT4G10360	CARHR256280
AT1G27030	CARHR024890
AT5G35520	CARHR217490
AT2G40290	CARHR135360
AT3G06420	CARHR080950
AT3G53940	CARHR163840
AT1G74940	CARHR068260
AT3G18350	CARHR093700
AT1G06110	CARHR005620
AT1G28080	CARHR027530
AT3G59570	CARHR169960
AT5G20380	CARHR192460
AT1G05490	CARHR004970
AT1G16170	CARHR016650
AT4G25070	CARHR232460
AT1G77410	CARHR070900
AT1G77940	CARHR071420
AT3G20800	CARHR096640
AT5G59690	CARHR273260
AT3G25870	CARHR146830
AT5G03620	CARHR209680
AT5G07130	CARHR206010
AT5G03160	CARHR210200
AT1G78130	CARHR071590
AT3G01260	CARHR075780
AT3G21175	CARHR097040
AT3G01590	CARHR075330
AT1G09830	CARHR009850
AT2G23340	CARHR292970
AT3G54290	CARHR164220
AT1G09790	CARHR009760
AT4G28370	CARHR236110
AT1G79520	CARHR073180
AT2G42320	CARHR137360
AT4G31550	CARHR239430
AT3G30380	CARHR153470
AT5G61090	CARHR274780
AT5G38110	CARHR214630
AT4G02510	CARHR250810
AT1G28330	CARHR027820
AT2G36460	CARHR130760
AT3G14260	CARHR089190
AT3G50140	CARHR159200
AT2G33150	CARHR127130
AT3G04960	CARHR079270
AT4G01480	CARHR250190
AT3G10290	CARHR084760
AT2G13570	CARHR104810
AT1G80350	CARHR074160
AT4G32940	CARHR240950
AT5G06080	CARHR206780
AT3G29970	CARHR153210
AT5G62400	CARHR276180
AT3G58190	CARHR168570
AT1G23480	CARHR023900
AT4G16141	CARHR222430
AT4G32490	CARHR240410
ATCG00120	CARHR281870
AT5G46290	CARHR175510
AT5G07350	CARHR205800
AT5G03300	CARHR210040
AT1G52410	CARHR042550
AT3G20220	CARHR095830
AT4G38180	CARHR293950
AT2G24390	CARHR117670
AT5G45113	CARHR177460
AT2G39710	CARHR134550
AT1G54840	CARHR056020
AT2G46000	CARHR141270
AT1G10586	CARHR010750
AT4G24710	CARHR232090
AT1G10580	CARHR010740
AT3G28200	CARHR149810
AT3G56680	CARHR166800
AT5G61180	CARHR274910
AT2G29040	CARHR122260
AT5G16390	CARHR196870
AT2G29510	CARHR122840
AT1G68010	CARHR060650
AT2G39340	CARHR134130
AT3G20770	CARHR096600
AT2G43630	CARHR138810
AT4G13550	CARHR219180
AT2G02148	CARHR144820
AT4G37200	CARHR245310
AT2G39435	CARHR134280
AT4G09680	CARHR260630
AT1G07570	CARHR007360
AT1G70320	CARHR045560
AT1G23260	CARHR023700
AT2G42580	CARHR137720
AT1G73670	CARHR066740
AT2G42850	CARHR137930
AT5G01830	CARHR212180
AT5G17540	CARHR195650
AT4G18260	CARHR225060
AT3G12290	CARHR086840
AT5G57020	CARHR270770
AT1G10760	CARHR010980
AT2G40980	CARHR136090
AT3G56350	CARHR166500
AT3G06060	CARHR080570
AT3G27925	CARHR149490
AT3G09870	CARHR084380
AT5G54050	CARHR081310
AT5G61820	CARHR275580
AT4G08900	CARHR259850
AT1G79130	CARHR072790
AT3G14840	CARHR105600,CARHR089780
AT1G01930	CARHR000430
AT1G08400	CARHR008280
AT2G45670	CARHR140890
AT1G43850	CARHR035410
AT5G50210	CARHR258410
AT4G30260	CARHR238170
AT1G60660	CARHR052270
AT1G75310	CARHR068660
AT1G07790	CARHR007600
AT3G61390	CARHR171730
AT1G07795	CARHR007610
AT2G43980	CARHR139150
AT4G33480	CARHR241560
AT3G12470	CARHR086970
AT3G11040	CARHR085620
AT1G74370	CARHR067630
AT4G14240	CARHR220360
AT3G16730	CARHR091990
AT5G08480	CARHR204510
AT2G38760	CARHR133450
AT5G44160	CARHR179110
AT4G18195	CARHR224950
AT5G08660	CARHR204320
AT2G37270	CARHR132320
AT4G18190	CARHR224940
AT3G59080	CARHR169500
AT4G39580	CARHR247140
AT5G19700	CARHR193210
AT4G39850	CARHR246850
AT1G66620	CARHR058650
AT3G28455	CARHR292510
AT5G08370	CARHR204680
AT5G59680	CARHR273230
AT2G30150	CARHR123470
AT5G17890	CARHR195230
AT2G35300	CARHR129450
AT2G45580	CARHR140800
AT5G19250	CARHR193730
AT5G43980	CARHR179380
AT1G19520	CARHR020090
AT5G53290	CARHR266330
AT1G19250	CARHR019850
AT4G01280	CARHR249030
AT4G31140	CARHR239050
AT5G16300	CARHR197010
AT4G33300	CARHR241370
AT2G34310	CARHR028920
AT2G23420	CARHR293030
AT2G39140	CARHR133910
AT2G31790	CARHR125460
AT5G18250	CARHR194810
AT2G28390	CARHR121340
AT2G28640	CARHR121750
AT5G12480	CARHR200620
AT2G18470	CARHR109070
AT2G19410	CARHR109860
AT5G04710	CARHR208580
AT2G31800	CARHR125490
AT2G37650	CARHR131930
AT5G14530	CARHR198780
AT5G15300	CARHR198010
AT1G76760	CARHR070300
AT3G48660	CARHR157410
AT5G57140	CARHR270920
AT5G11350	CARHR201900
AT3G45560	CARHR150080
AT2G36850	CARHR131310
AT3G17660	CARHR092990
AT1G01240	CARHR001220
AT5G15870	CARHR197440
AT4G15260	CARHR221990
AT5G37780	CARHR215030
AT2G26530	CARHR120050
AT2G20000	CARHR110420
AT1G53420	CARHR043620
AT3G49640	CARHR158670
AT5G12400	CARHR200700
AT5G14780	CARHR198530
AT3G49645	CARHR158680
AT1G56145	CARHR045890
AT2G41170	CARHR136260
AT3G43670	CARHR151440
AT5G55470	CARHR268780
AT3G61970	CARHR172330
AT3G02760	CARHR076770
AT1G61820	CARHR050510
AT1G02910	CARHR002260
ATMG01020	CARHR283270
AT2G44980	CARHR140240
AT3G63490	CARHR291480
AT4G10940	CARHR255670
AT4G10230	CARHR117400
AT4G30480	CARHR238370
AT5G49760	CARHR259030
AT1G61280	CARHR051330
AT1G66080	CARHR058040
AT1G33700	CARHR033110
AT3G45780	CARHR149890
AT3G08500	CARHR082800
AT4G33780	CARHR241870
AT2G19930	CARHR110370
AT3G08505	CARHR082810
AT4G25500	CARHR000010
AT2G45850	CARHR141120
AT3G54350	CARHR164260
AT2G27550	CARHR121450
AT1G33250	CARHR032610
AT4G01860	CARHR249820
AT5G65660	CARHR279620
AT3G59010	CARHR169420
AT1G01060	CARHR001420
AT1G72230	CARHR065090
AT1G01790	CARHR000530
AT5G51440	CARHR264170
AT2G01890	CARHR144450
AT5G15820	CARHR197500
AT5G09350	CARHR204050
AT5G62730	CARHR276520
AT5G15950	CARHR197350
AT4G38910	CARHR247850
AT5G47190	CARHR174170
AT1G32250	CARHR031620
AT1G67970	CARHR060620
AT1G66240	CARHR085120
AT5G66700	CARHR281020
AT1G78490	CARHR071990
AT2G44180	CARHR139340
AT2G36650	CARHR130930
AT5G49580	CARHR288030
AT1G14460	CARHR014920
AT3G09370	CARHR083740
ATMG00720	CARHR283060
AT3G51130	CARHR160730
AT1G13440	CARHR013790
AT3G24315	CARHR100410
AT1G13110	CARHR013480
AT3G24310	CARHR100390
AT3G07550	CARHR082230
AT5G35200	CARHR217300
AT1G17160	CARHR017740
AT2G03280	CARHR145600
AT3G16120	CARHR091280
AT4G10590	CARHR256010
AT3G11170	CARHR085740
AT3G08030	CARHR082770
AT5G48560	CARHR183460
AT3G22420	CARHR098320
AT3G22425	CARHR098330
AT1G28650	CARHR028110
AT5G49950	CARHR258760
AT5G11700	CARHR201520
AT3G58400	CARHR168770
AT4G38090	CARHR246490
AT2G16790	CARHR107040
AT1G56340	CARHR289890
AT3G52600	CARHR162420
AT1G77770	CARHR071290
AT5G24120	CARHR189460
AT4G16790	CARHR223410
AT2G47960	CARHR143350
AT4G01650	CARHR250020
AT1G26140	CARHR025780
AT4G17640	CARHR224360
AT5G13960	CARHR199440
AT4G04750	CARHR252800
AT4G32160	CARHR240090
AT2G45280	CARHR140490
AT2G22530	CARHR113720
AT3G43920	CARHR049880
AT1G55490	CARHR045160
AT1G18340	CARHR018930
AT1G55140	CARHR044740
AT5G25830	CARHR187580
AT1G22650	CARHR023020
AT2G21710	CARHR112700
AT1G22300	CARHR022680
AT2G24940	CARHR116770
AT2G47630	CARHR143030
AT4G11400	CARHR255180
AT4G36670	CARHR245020
AT5G41870	CARHR212690
AT1G48580	CARHR038180
AT5G65600	CARHR279560
AT5G61790	CARHR275550
AT1G51390	CARHR041540
AT5G61240	CARHR274990
AT4G27490	CARHR235170
AT2G46580	CARHR141930
AT5G17700	CARHR195480
AT3G04280	CARHR078430
AT3G09670	CARHR084090
AT5G18820	CARHR194180
AT1G67280	CARHR059760
AT5G11030	CARHR202260
AT5G14650	CARHR198670
AT4G16530	CARHR222950
AT4G37790	CARHR246180
AT1G80500	CARHR074020
AT2G31940	CARHR125650
AT4G18290	CARHR225090
AT5G46910	CARHR174520
AT1G49980	CARHR040030
AT1G02260	CARHR001550
AT1G64950	CARHR057170
AT1G75950	CARHR069500
AT1G47600	CARHR259760
AT4G26010	CARHR233530
AT3G23590	CARHR099510
AT3G56900	CARHR167050
AT2G33770	CARHR127840
AT4G15060	CARHR221750
AT3G50570	CARHR160080
AT1G66880	CARHR059020
AT4G23000	CARHR230060
AT1G03790	CARHR003120
AT2G40400	CARHR135480
AT2G46760	CARHR142100
AT1G06560	CARHR006170
AT5G20710	CARHR192100
AT5G01460	CARHR211830
AT2G33775	CARHR127850
AT3G53880	CARHR163780
AT4G12540	CARHR253650
AT1G62500	CARHR049420
AT3G11980	CARHR086540
AT1G67750	CARHR060370
AT3G51050	CARHR160630
AT5G15780	CARHR197550
AT2G23970	CARHR184670
AT2G25540	CARHR115870
AT2G28560	CARHR121570
AT1G16690	CARHR017150
AT1G12530	CARHR012820
AT1G23010	CARHR023390
AT5G53490	CARHR266630
AT1G49180	CARHR039180
AT1G62960	CARHR048700
AT5G44240	CARHR178990
AT4G37070	CARHR245450
AT4G29690	CARHR237540
AT3G62810	CARHR173080
AT2G41810	CARHR136890
AT2G02820	CARHR145260
AT3G50685	CARHR160200
AT5G44710	CARHR178190
AT4G29340	CARHR237130
AT3G01900	CARHR075050
AT3G05480	CARHR079860
AT1G31280	CARHR030750
AT3G51970	CARHR161630
AT5G53730	CARHR266860
AT1G76130	CARHR069670
AT5G05690	CARHR207590
AT1G09620	CARHR040170
AT2G35680	CARHR129920
AT1G17340	CARHR017930
AT5G57560	CARHR271330
AT5G01950	CARHR212300
AT1G17345	CARHR017940
AT2G29300	CARHR122540
AT4G02410	CARHR250610
AT5G63840	CARHR277740
AT5G50340	CARHR258160
AT3G06400	CARHR080930
AT3G10620	CARHR085200
AT5G06740	CARHR206440
AT2G36880	CARHR131330
AT1G16340	CARHR016810
AT3G25190	CARHR101540
AT2G36885	CARHR131340
AT1G49230	CARHR039240
AT1G73770	CARHR066840
AT4G38140	CARHR293900
AT5G56680	CARHR270370
AT3G15210	CARHR090200
AT5G22940	CARHR190590
AT5G01390	CARHR211770
AT4G29180	CARHR236910
AT1G29740	CARHR029110
AT2G39960	CARHR134880
AT3G17810	CARHR093160
AT3G23920	CARHR100350
AT3G54860	CARHR164840
AT2G32410	CARHR126230
AT4G14410	CARHR220620
AT2G32415	CARHR126240
AT5G44180	CARHR179080
AT3G46550	CARHR155250
AT5G47400	CARHR173970
AT5G13750	CARHR199690
AT1G03130	CARHR002480
AT4G21540	CARHR228210
AT4G10110	CARHR261150
AT5G13280	CARHR200160
ATCG00490	CARHR282080
AT5G45850	CARHR176120
AT2G36240	CARHR130480
AT1G51130	CARHR041150
AT1G30880	CARHR030370
AT1G51640	CARHR041800
AT1G30730	CARHR030190
AT5G04610	CARHR208680
AT4G16515	CARHR222920
AT3G50130	CARHR159190
AT5G05390	CARHR207840
AT5G02790	CARHR210570
AT5G54062	CARHR267050
AT3G54180	CARHR164080
AT2G30300	CARHR123620
AT4G13940	CARHR219830
AT1G50250	CARHR040310
AT4G37690	CARHR246080
AT2G19590	CARHR110030
AT2G20390	CARHR110910
AT2G20825	CARHR111530
AT1G50510	CARHR040540
AT3G16370	CARHR091590
AT5G06610	CARHR206590
AT2G16630	CARHR106850
AT4G18596	CARHR225450
AT4G27870	CARHR235570
AT3G57740	CARHR168040
AT3G01670	CARHR075250
AT3G05950	CARHR080440
AT4G33200	CARHR241230
AT3G16000	CARHR091130
AT2G17300	CARHR107410
AT4G25650	CARHR233090
AT3G21690	CARHR097630
AT4G26480	CARHR234060
AT5G26710	CARHR186940
AT5G13130	CARHR200340
AT1G20270	CARHR020760
ATCG00540	CARHR282120
AT5G01680	CARHR212040
AT3G51150	CARHR160750
AT5G28910	CARHR185420
AT1G61720	CARHR050620
AT4G21760	CARHR228500
AT4G04955	CARHR252570
AT4G21090	CARHR227670
AT3G07970	CARHR082710
AT4G19810	CARHR226580
AT1G10970	CARHR011180
AT5G45580	CARHR176450
AT2G43090	CARHR138160
AT5G37570	CARHR215340
AT3G52680	CARHR162490
AT2G01770	CARHR144350
AT3G13820	CARHR025790
AT1G75760	CARHR069170
AT2G43840	CARHR139020
AT4G13370	CARHR218940
AT3G52860	CARHR162730
AT5G56760	CARHR270510
AT3G10700	CARHR085280
AT4G05390	CARHR252190
AT2G28250	CARHR121170
AT4G09140	CARHR260140
AT1G69280	CARHR062160
AT4G39210	CARHR247510
AT3G21430	CARHR097400
AT5G59290	CARHR285630
AT1G78300	CARHR071770
AT5G52470	CARHR265460
AT4G25730	CARHR233180
AT5G51560	CARHR264360
AT1G73150	CARHR066120
AT1G31340	CARHR030810
AT2G07705	CARHR282830
AT3G62300	CARHR172640
AT5G38630	CARHR214070
AT5G61930	CARHR275690
AT1G79310	CARHR072960
AT3G12660	CARHR087170
AT2G38152	CARHR132750
AT2G38150	CARHR132740
AT5G04530	CARHR208740
AT5G51350	CARHR104130
AT5G45280	CARHR176860
AT2G20760	CARHR111430
AT3G14100	CARHR088960
AT5G12080	CARHR201050
AT4G35530	CARHR243860
AT4G10730	CARHR255870
AT5G37310	CARHR215780
AT1G15610	CARHR016140
AT2G31300	CARHR124390
AT5G52910	CARHR265900
AT5G64460	CARHR278420
AT3G61560	CARHR171880
AT2G31305	CARHR124920
AT3G17100	CARHR092350
AT2G40850	CARHR135970
ATCG00900	CARHR282520
AT2G46960	CARHR142310
AT3G17630	CARHR092960
AT1G20890	CARHR021320
AT4G38840	CARHR247900
AT3G55480	CARHR165530
AT4G28630	CARHR236410
AT1G47750	CARHR037350
AT1G73880	CARHR066990
AT4G34320	CARHR242460
AT1G52600	CARHR042730
AT5G62890	CARHR276700
AT1G73885	CARHR067000
AT2G38480	CARHR133170
AT1G10390	CARHR010530
AT3G53620	CARHR163550
AT3G28540	CARHR286770
AT5G14700	CARHR198610
AT5G60400	CARHR274070
AT3G42800	CARHR153760
AT2G29700	CARHR123040
AT4G30400	CARHR238300
AT4G39460	CARHR247280
AT2G13680	CARHR104750
AT2G33450	CARHR127460
AT3G48470	CARHR157230
AT5G08000	CARHR205190
AT3G09250	CARHR083600
AT3G62650	CARHR172920
AT5G23890	CARHR189670
AT2G02010	CARHR144620
AT5G23720	CARHR189830
AT2G26970	CARHR119150
AT5G11060	CARHR202230
AT5G25930	CARHR187510
AT3G56420	CARHR166550
AT1G76450	CARHR070010
AT2G26180	CARHR114950
AT3G06310	CARHR080830
AT2G31160	CARHR124760
AT1G80690	CARHR073820
AT5G24710	CARHR188770
AT4G26280	CARHR233830
AT3G55660	CARHR165720
AT3G24660	CARHR101030
AT1G26330	CARHR025590
AT1G18590	CARHR019210
AT3G44310	CARHR164570
AT5G36950	CARHR216140
AT4G36800	CARHR245160
AT3G12080	CARHR086640
AT1G73080	CARHR066050
AT4G13150	CARHR218600
AT4G26830	CARHR234450
AT1G66200	CARHR292180
AT5G22410	CARHR191120
AT3G10960	CARHR085540
AT1G22530	CARHR022890
AT4G18030	CARHR224800
AT2G24020	CARHR184720
AT1G33060	CARHR032390
AT5G54960	CARHR268300
AT4G21323	CARHR227900
AT2G13350	CARHR105170
AT5G66460	CARHR281290
AT1G10020	CARHR010130
AT2G45440	CARHR140630
AT1G08210	CARHR008040
AT2G45110	CARHR058290
AT1G72420	CARHR065320
AT5G23090	CARHR190440
AT1G21326	CARHR021710
AT1G21327	CARHR217320
AT2G14910	CARHR105400
AT2G45700	CARHR140930
AT4G01670	CARHR250000
AT3G18900	CARHR094340
AT5G48140	CARHR184200
AT4G20960	CARHR227510
AT5G40850	CARHR213670
AT1G25440	CARHR026020
AT2G44530	CARHR139750
AT3G02590	CARHR076600
AT5G46210	CARHR175580
AT4G02650	CARHR250950
AT3G48270	CARHR157030
AT1G04530	CARHR003870
AT3G12880	CARHR087400
AT1G55550	CARHR045250
AT3G07100	CARHR081700
AT4G10550	CARHR256030
AT1G22790	CARHR023150
AT2G01620	CARHR144190
AT5G42050	CARHR212520
AT5G64360	CARHR278300
AT3G19230	CARHR094640
AT3G03420	CARHR077440
AT5G54850	CARHR268180
AT3G09925	CARHR084450
AT5G20220	CARHR192610
AT5G54855	CARHR268190
AT5G45660	CARHR176320
AT2G23180	CARHR114340
AT5G19930	CARHR192920
AT3G50220	CARHR159580
AT1G13610	CARHR013950
AT1G33390	CARHR032810
AT5G13410	CARHR200020
AT1G48000	CARHR037630
AT1G05950	CARHR005480
AT1G05410	CARHR004920
AT1G72680	CARHR065600
AT3G49250	CARHR158090
AT2G39420	CARHR134270
AT3G29760	CARHR153160
AT1G15470	CARHR016020
AT3G45880	CARHR154210
AT4G00720	CARHR248890
AT4G09100	CARHR260170
AT5G06180	CARHR206890
AT5G23940	CARHR189620
AT1G49750	CARHR039800
AT4G31930	CARHR239850
AT3G54230	CARHR164150
AT1G14700	CARHR015230
AT3G11810	CARHR145690
AT3G23100	CARHR099010
AT3G46030	CARHR154390
AT3G23450	CARHR099410
AT3G20100	CARHR095610
AT3G27540	CARHR148910
AT5G25440	CARHR187760
AT1G47970	CARHR037590
AT3G45040	CARHR150930
AT2G19770	CARHR110230
AT1G62520	CARHR049400
AT5G52850	CARHR265780
AT1G76300	CARHR069850
AT2G01740	CARHR144310
AT5G01015	CARHR212370
AT2G30950	CARHR124470
AT1G47280	CARHR036860
AT5G01010	CARHR212360
AT3G25070	CARHR101410
AT2G16485	CARHR106710
AT3G47770	CARHR156450
AT1G43580	CARHR035390
AT3G16320	CARHR091530
AT1G01470	CARHR000900
AT3G26760	CARHR147830
AT3G16560	CARHR091760
AT3G19580	CARHR095030
AT1G56600	CARHR054910
AT4G27260	CARHR234900
AT2G20635	CARHR111290
AT1G48910	CARHR038900
AT4G37050	CARHR245460
AT4G21450	CARHR228130
AT4G31460	CARHR239350
AT3G49430	CARHR158390
AT3G50910	CARHR160480
AT1G56350	CARHR055350
AT5G56340	CARHR269780
AT5G60300	CARHR273970
AT5G64350	CARHR278290
AT2G43320	CARHR138390
AT1G52855	CARHR043080
AT1G55805	CARHR045510
AT4G36110	CARHR244510
AT2G14830	CARHR284800,CARHR284810
AT2G22250	CARHR113480
AT3G46960	CARHR155590
AT2G19210	CARHR109690
AT3G60550	CARHR170950
AT3G15080	CARHR090040
AT5G44110	CARHR179160
AT2G40750	CARHR135840
AT1G33930	CARHR033250
AT1G27170	CARHR024680
AT5G24930	CARHR188510
AT4G11460	CARHR255080
AT3G18010	CARHR093320
AT4G20840	CARHR227380
AT1G58180	CARHR053900
AT5G64580	CARHR278550
AT4G22030	CARHR228850
AT3G22850	CARHR098740
AT1G09480	CARHR222090
AT2G46970	CARHR142340
AT1G69500	CARHR062430
AT1G62262	CARHR049860
AT3G04360	CARHR078540
AT1G67560	CARHR060130
AT1G23070	CARHR023450
AT4G27000	CARHR234620
AT1G78680	CARHR072210
AT4G22970	CARHR230010
AT5G02480	CARHR210900
AT3G05540	CARHR079930
AT1G11960	CARHR012310
AT3G05010	CARHR079330
AT2G01630	CARHR144200
AT3G50960	CARHR160540
AT1G63020	CARHR048620
AT4G29510	CARHR237340
AT3G01060	CARHR076010
AT3G60080	CARHR170390
AT3G63430	CARHR291540
AT5G45100	CARHR177510
AT3G15880	CARHR090990
AT5G55520	CARHR268830
AT1G17750	CARHR018360
AT5G08120	CARHR205070
AT3G10130	CARHR084610
